agency_cd,site_no,Date,Discharge,,X_00060_00003_cd
USGS,09506000,1/1/2023,2300,65.12864,A
USGS,09506000,1/2/2023,5440,154.043392,A
USGS,09506000,1/3/2023,2230,63.146464,A
USGS,09506000,1/4/2023,1270,35.962336,A
USGS,09506000,1/5/2023,1010,28.599968,A
USGS,09506000,1/6/2023,974,27.5805632,A
USGS,09506000,1/7/2023,968,27.4106624,A
USGS,09506000,1/8/2023,738,20.8977984,A
USGS,09506000,1/9/2023,669,18.9439392,A
USGS,09506000,1/10/2023,574,16.2538432,A
USGS,09506000,1/11/2023,546,15.4609728,A
USGS,09506000,1/12/2023,651,18.4342368,A
USGS,09506000,1/13/2023,531,15.0362208,A
USGS,09506000,1/14/2023,451,12.7708768,A
USGS,09506000,1/15/2023,439,12.4310752,A
USGS,09506000,1/16/2023,1000,28.3168,A
USGS,09506000,1/17/2023,5140,145.548352,A
USGS,09506000,1/18/2023,4040,114.399872,A
USGS,09506000,1/19/2023,2460,69.659328,A
USGS,09506000,1/20/2023,1330,37.661344,A
USGS,09506000,1/21/2023,910,25.768288,A
USGS,09506000,1/22/2023,658,18.6324544,A
USGS,09506000,1/23/2023,559,15.8290912,A
USGS,09506000,1/24/2023,488,13.8185984,A
USGS,09506000,1/25/2023,418,11.8364224,A
USGS,09506000,1/26/2023,368,10.4205824,A
USGS,09506000,1/27/2023,336,9.5144448,A
USGS,09506000,1/28/2023,311,8.8065248,A
USGS,09506000,1/29/2023,290,8.211872,A
USGS,09506000,1/30/2023,280,7.928704,A
USGS,09506000,1/31/2023,275,7.78712,A
USGS,09506000,2/1/2023,269,7.6172192,A
USGS,09506000,2/2/2023,260,7.362368,A
USGS,09506000,2/3/2023,260,7.362368,A
USGS,09506000,2/4/2023,285,8.070288,A
USGS,09506000,2/5/2023,479,13.5637472,A
USGS,09506000,2/6/2023,848,24.0126464,A
USGS,09506000,2/7/2023,842,23.8427456,A
USGS,09506000,2/8/2023,693,19.6235424,A
USGS,09506000,2/9/2023,607,17.1882976,A
USGS,09506000,2/10/2023,543,15.3760224,A
USGS,09506000,2/11/2023,455,12.884144,A
USGS,09506000,2/12/2023,401,11.3550368,A
USGS,09506000,2/13/2023,414,11.7231552,A
USGS,09506000,2/14/2023,493,13.9601824,A
USGS,09506000,2/15/2023,464,13.1389952,A
USGS,09506000,2/16/2023,387,10.9586016,A
USGS,09506000,2/17/2023,329,9.3162272,A
USGS,09506000,2/18/2023,298,8.4384064,A
USGS,09506000,2/19/2023,274,7.7588032,A
USGS,09506000,2/20/2023,530,15.007904,A
USGS,09506000,2/21/2023,950,26.90096,A
USGS,09506000,2/22/2023,1690,47.855392,A
USGS,09506000,2/23/2023,1950,55.21776,A
USGS,09506000,2/24/2023,1260,35.679168,A
USGS,09506000,2/25/2023,1280,36.245504,A
USGS,09506000,2/26/2023,1710,48.421728,A
USGS,09506000,2/27/2023,1150,32.56432,A
USGS,09506000,2/28/2023,1160,32.847488,A
USGS,09506000,3/1/2023,1060,30.015808,A
USGS,09506000,3/2/2023,889,25.1736352,A
USGS,09506000,3/3/2023,752,21.2942336,A
USGS,09506000,3/4/2023,1070,30.298976,A
USGS,09506000,3/5/2023,1850,52.38608,A
USGS,09506000,3/6/2023,2280,64.562304,A
USGS,09506000,3/7/2023,2340,66.261312,A
USGS,09506000,3/8/2023,2210,62.580128,A
USGS,09506000,3/9/2023,2180,61.730624,A
USGS,09506000,3/10/2023,1980,56.067264,A
USGS,09506000,3/11/2023,2500,70.792,A
USGS,09506000,3/12/2023,5580,158.007744,A
USGS,09506000,3/13/2023,7340,207.845312,A
USGS,09506000,3/14/2023,6400,181.22752,A
USGS,09506000,3/15/2023,6660,188.589888,A
USGS,09506000,3/16/2023,26200,741.90016,A
USGS,09506000,3/17/2023,12600,356.79168,A
USGS,09506000,3/18/2023,7430,210.393824,A
USGS,09506000,3/19/2023,4960,140.451328,A
USGS,09506000,3/20/2023,3600,101.94048,A
USGS,09506000,3/21/2023,8190,231.914592,A
USGS,09506000,3/22/2023,34600,979.76128,A
USGS,09506000,3/23/2023,21100,597.48448,A
USGS,09506000,3/24/2023,8330,235.878944,A
USGS,09506000,3/25/2023,4590,129.974112,A
USGS,09506000,3/26/2023,2960,83.817728,A
USGS,09506000,3/27/2023,2130,60.314784,A
USGS,09506000,3/28/2023,1630,46.156384,A
USGS,09506000,3/29/2023,1590,45.023712,A
USGS,09506000,3/30/2023,2220,62.863296,A
USGS,09506000,3/31/2023,2410,68.243488,A
USGS,09506000,4/1/2023,1630,46.156384,A
USGS,09506000,4/2/2023,1750,49.5544,A
USGS,09506000,4/3/2023,2520,71.358336,A
USGS,09506000,4/4/2023,3170,89.764256,A
USGS,09506000,4/5/2023,2590,73.340512,A
USGS,09506000,4/6/2023,1510,42.758368,A
USGS,09506000,4/7/2023,1360,38.510848,A
USGS,09506000,4/8/2023,1870,52.952416,A
USGS,09506000,4/9/2023,2360,66.827648,A
USGS,09506000,4/10/2023,2890,81.835552,A
USGS,09506000,4/11/2023,3560,100.807808,A
USGS,09506000,4/12/2023,3940,111.568192,A
USGS,09506000,4/13/2023,3420,96.843456,A
USGS,09506000,4/14/2023,2360,66.827648,A
USGS,09506000,4/15/2023,1700,48.13856,A
USGS,09506000,4/16/2023,1360,38.510848,A
USGS,09506000,4/17/2023,1230,34.829664,A
USGS,09506000,4/18/2023,1130,31.997984,A
USGS,09506000,4/19/2023,965,27.325712,A
USGS,09506000,4/20/2023,775,21.94552,A
USGS,09506000,4/21/2023,607,17.1882976,A
USGS,09506000,4/22/2023,488,13.8185984,A
USGS,09506000,4/23/2023,437,12.3744416,A
USGS,09506000,4/24/2023,388,10.9869184,A
USGS,09506000,4/25/2023,338,9.5710784,A
USGS,09506000,4/26/2023,304,8.6083072,A
USGS,09506000,4/27/2023,275,7.78712,A
USGS,09506000,4/28/2023,239,6.7677152,A
USGS,09506000,4/29/2023,215,6.088112,A
USGS,09506000,4/30/2023,197,5.5784096,A
USGS,09506000,5/1/2023,188,5.3235584,A
USGS,09506000,5/2/2023,168,4.7572224,A
USGS,09506000,5/3/2023,150,4.24752,A
USGS,09506000,5/4/2023,149,4.2192032,A
USGS,09506000,5/5/2023,140,3.964352,A
USGS,09506000,5/6/2023,134,3.7944512,A
USGS,09506000,5/7/2023,135,3.822768,A
USGS,09506000,5/8/2023,133,3.7661344,A
USGS,09506000,5/9/2023,128,3.6245504,A
USGS,09506000,5/10/2023,127,3.5962336,A
USGS,09506000,5/11/2023,120,3.398016,A
USGS,09506000,5/12/2023,115,3.256432,A
USGS,09506000,5/13/2023,111,3.1431648,A
USGS,09506000,5/14/2023,108,3.0582144,A
USGS,09506000,5/15/2023,108,3.0582144,A
USGS,09506000,5/16/2023,112,3.1714816,A
USGS,09506000,5/17/2023,113,3.1997984,A
USGS,09506000,5/18/2023,106,3.0015808,A
USGS,09506000,5/19/2023,132,3.7378176,A
USGS,09506000,5/20/2023,209,5.9182112,A
USGS,09506000,5/21/2023,155,4.389104,A
USGS,09506000,5/22/2023,161,4.5590048,A
USGS,09506000,5/23/2023,158,4.4740544,A
USGS,09506000,5/24/2023,136,3.8510848,A
USGS,09506000,5/25/2023,121,3.4263328,A
USGS,09506000,5/26/2023,104,2.9449472,A
USGS,09506000,5/27/2023,98.2,2.78070976,A
USGS,09506000,5/28/2023,97.1,2.74956128,A
USGS,09506000,5/29/2023,94.3,2.67027424,A
USGS,09506000,5/30/2023,94.1,2.66461088,A
USGS,09506000,5/31/2023,92.6,2.62213568,A
USGS,09506000,6/1/2023,90.2,2.55417536,A
USGS,09506000,6/2/2023,84.1,2.38144288,A
USGS,09506000,6/3/2023,84.4,2.38993792,A
USGS,09506000,6/4/2023,87,2.4635616,A
USGS,09506000,6/5/2023,86.5,2.4494032,A
USGS,09506000,6/6/2023,80.1,2.26817568,A
USGS,09506000,6/7/2023,78,2.2087104,A
USGS,09506000,6/8/2023,85.3,2.41542304,A
USGS,09506000,6/9/2023,79.2,2.24269056,A
USGS,09506000,6/10/2023,80.1,2.26817568,A
USGS,09506000,6/11/2023,77.6,2.19738368,A
USGS,09506000,6/12/2023,74.9,2.12092832,A
USGS,09506000,6/13/2023,73.3,2.07562144,A
USGS,09506000,6/14/2023,75.6,2.14075008,A
USGS,09506000,6/15/2023,71.2,2.01615616,A
USGS,09506000,6/16/2023,70.6,1.99916608,A
USGS,09506000,6/17/2023,69.4,1.96518592,A
USGS,09506000,6/18/2023,68.6,1.94253248,A
USGS,09506000,6/19/2023,68.3,1.93403744,A
USGS,09506000,6/20/2023,66.8,1.89156224,A
USGS,09506000,6/21/2023,65.4,1.85191872,A
USGS,09506000,6/22/2023,64.7,1.83209696,A
USGS,09506000,6/23/2023,62.9,1.78112672,A
USGS,09506000,6/24/2023,60,1.699008,A
USGS,09506000,6/25/2023,58.7,1.66219616,A
USGS,09506000,6/26/2023,55.8,1.58007744,A
USGS,09506000,6/27/2023,53.9,1.52627552,A
USGS,09506000,6/28/2023,50.8,1.43849344,A
USGS,09506000,6/29/2023,47.6,1.34787968,A
USGS,09506000,6/30/2023,46.6,1.31956288,A
USGS,09506000,7/1/2023,43.4,1.22894912,A
USGS,09506000,7/2/2023,45,1.274256,A
USGS,09506000,7/3/2023,41.9,1.18647392,A
USGS,09506000,7/4/2023,44.9,1.27142432,A
USGS,09506000,7/5/2023,44.8,1.26859264,A
USGS,09506000,7/6/2023,41.2,1.16665216,A
USGS,09506000,7/7/2023,39.6,1.12134528,A
USGS,09506000,7/8/2023,41.3,1.16948384,A
USGS,09506000,7/9/2023,42.7,1.20912736,A
USGS,09506000,7/10/2023,44.2,1.25160256,A
USGS,09506000,7/11/2023,41.9,1.18647392,A
USGS,09506000,7/12/2023,40.2,1.13833536,A
USGS,09506000,7/13/2023,38.8,1.09869184,A
USGS,09506000,7/14/2023,38.4,1.08736512,A
USGS,09506000,7/15/2023,36,1.0194048,A
USGS,09506000,7/16/2023,36.1,1.02223648,A
USGS,09506000,7/17/2023,35.1,0.99391968,A
USGS,09506000,7/18/2023,34.5,0.9769296,A
USGS,09506000,7/19/2023,34.5,0.9769296,A
USGS,09506000,7/20/2023,34.2,0.96843456,A
USGS,09506000,7/21/2023,35.3,0.99958304,A
USGS,09506000,7/22/2023,37,1.0477216,A
USGS,09506000,7/23/2023,35.4,1.00241472,A
USGS,09506000,7/24/2023,35.8,1.01374144,A
USGS,09506000,7/25/2023,38.6,1.09302848,A
USGS,09506000,7/26/2023,49.2,1.39318656,A
USGS,09506000,7/27/2023,56.2,1.59140416,A
USGS,09506000,7/28/2023,94.1,2.66461088,A
USGS,09506000,7/29/2023,63.8,1.80661184,A
USGS,09506000,7/30/2023,69.4,1.96518592,A
USGS,09506000,7/31/2023,70.9,2.00766112,A
USGS,09506000,8/1/2023,121,3.4263328,A
USGS,09506000,8/2/2023,114,3.2281152,A
USGS,09506000,8/3/2023,103,2.9166304,A
USGS,09506000,8/4/2023,97.7,2.76655136,A
USGS,09506000,8/5/2023,87.7,2.48338336,A
USGS,09506000,8/6/2023,75.8,2.14641344,A
USGS,09506000,8/7/2023,68.2,1.93120576,A
USGS,09506000,8/8/2023,60.2,1.70467136,A
USGS,09506000,8/9/2023,61.9,1.75280992,A
USGS,09506000,8/10/2023,101,2.8599968,A
USGS,09506000,8/11/2023,93.9,2.65894752,A
USGS,09506000,8/12/2023,90.2,2.55417536,A
USGS,09506000,8/13/2023,110,3.114848,A
USGS,09506000,8/14/2023,99.3,2.81185824,A
USGS,09506000,8/15/2023,91.5,2.5909872,A
USGS,09506000,8/16/2023,89.6,2.53718528,A
USGS,09506000,8/17/2023,87.4,2.47488832,A
USGS,09506000,8/18/2023,110,3.114848,A
USGS,09506000,8/19/2023,144,4.0776192,A
USGS,09506000,8/20/2023,126,3.5679168,A
USGS,09506000,8/21/2023,125,3.5396,A
USGS,09506000,8/22/2023,130,3.681184,A
USGS,09506000,8/23/2023,136,3.8510848,A
USGS,09506000,8/24/2023,129,3.6528672,A
USGS,09506000,8/25/2023,124,3.5112832,A
USGS,09506000,8/26/2023,118,3.3413824,A
USGS,09506000,8/27/2023,103,2.9166304,A
USGS,09506000,8/28/2023,89.2,2.52585856,A
