Date,Value,Anomaly,Month,Year
198601,48.3,7.4,1,1986
198602,47.1,3,2,1986
198603,52.9,4.8,3,1986
198604,56.3,1.4,4,1986
198605,64.7,1.7,5,1986
198606,74.6,2.2,6,1986
198607,75.7,-2.4,7,1986
198608,77.4,1.3,8,1986
198609,65.3,-5.3,9,1986
198610,57.1,-2.8,10,1986
198611,49.8,0.8,11,1986
198612,42.3,0.5,12,1986
198701,40.2,-0.7,1,1987
198702,43.5,-0.6,2,1987
198703,46.1,-2,3,1987
198704,59.8,4.9,4,1987
198705,63.7,0.7,5,1987
198706,75,2.6,6,1987
198707,75.6,-2.5,7,1987
198708,75.7,-0.4,8,1987
198709,70.5,-0.1,9,1987
198710,64.1,4.2,10,1987
198711,47.7,-1.3,11,1987
198712,39.2,-2.6,12,1987
198801,41.5,0.6,1,1988
198802,47.4,3.3,2,1988
198803,49.4,1.3,3,1988
198804,55.7,0.8,4,1988
198805,63.5,0.5,5,1988
198806,74.9,2.5,6,1988
198807,79.4,1.3,7,1988
198808,75.8,-0.3,8,1988
198809,68.9,-1.7,9,1988
198810,65.8,5.9,10,1988
198811,49.7,0.7,11,1988
198812,41.2,-0.6,12,1988
198901,40.4,-0.5,1,1989
198902,45.5,1.4,2,1989
198903,54.4,6.3,3,1989
198904,62.8,7.9,4,1989
198905,66,3,5,1989
198906,74,1.6,6,1989
198907,80.2,2.1,7,1989
198908,75.7,-0.4,8,1989
198909,71.8,1.2,9,1989
198910,60.5,0.6,10,1989
198911,51.7,2.7,11,1989
198912,43.5,1.7,12,1989
199001,40.6,-0.3,1,1990
199002,42.3,-1.8,2,1990
199003,50.8,2.7,3,1990
199004,58,3.1,4,1990
199005,62.5,-0.5,5,1990
199006,76.1,3.7,6,1990
199007,77.7,-0.4,7,1990
199008,74.4,-1.7,8,1990
199009,71.7,1.1,9,1990
199010,61.6,1.7,10,1990
199011,50.3,1.3,11,1990
199012,37.5,-4.3,12,1990
199101,41.8,0.9,1,1991
199102,50,5.9,2,1991
199103,44,-4.1,3,1991
199104,53.9,-1,4,1991
199105,60.9,-2.1,5,1991
199106,69.1,-3.3,6,1991
199107,78.5,0.4,7,1991
199108,77.3,1.2,8,1991
199109,71.2,0.6,9,1991
199110,63.5,3.6,10,1991
199111,49,0,11,1991
199112,42.2,0.4,12,1991
199201,41.4,0.5,1,1992
199202,46.9,2.8,2,1992
199203,48.3,0.2,3,1992
199204,59.7,4.8,4,1992
199205,65.1,2.1,5,1992
199206,71.2,-1.2,6,1992
199207,76.8,-1.3,7,1992
199208,75.9,-0.2,8,1992
199209,72,1.4,9,1992
199210,62.8,2.9,10,1992
199211,45.9,-3.1,11,1992
199212,38.9,-2.9,12,1992
199301,42.9,2,1,1993
199302,43.5,-0.6,2,1993
199303,51.3,3.2,3,1993
199304,57.9,3,4,1993
199305,65.9,2.9,5,1993
199306,72.7,0.3,6,1993
199307,76.4,-1.7,7,1993
199308,76.1,0,8,1993
199309,70.8,0.2,9,1993
199310,60.3,0.4,10,1993
199311,46.8,-2.2,11,1993
199312,42.3,0.5,12,1993
199401,44.2,3.3,1,1994
199402,42.8,-1.3,2,1994
199403,51.8,3.7,3,1994
199404,56.7,1.8,4,1994
199405,63.2,0.2,5,1994
199406,77.3,4.9,6,1994
199407,79.5,1.4,7,1994
199408,80,3.9,8,1994
199409,72.6,2,9,1994
199410,58.4,-1.5,10,1994
199411,44.2,-4.8,11,1994
199412,43.5,1.7,12,1994
199501,41.7,0.8,1,1995
199502,50.7,6.6,2,1995
199503,49.7,1.6,3,1995
199504,53.4,-1.5,4,1995
199505,59.5,-3.5,5,1995
199506,70.5,-1.9,6,1995
199507,79.1,1,7,1995
199508,80,3.9,8,1995
199509,73.4,2.8,9,1995
199510,62.7,2.8,10,1995
199511,55.6,6.6,11,1995
