Diameter,Height,HDR
3,18,60
4,34,85
14,128,91.42857143
7,111,158.5714286
7,100,142.8571429
6,104,173.3333333
4,71,177.5
4,76,190
2,26,130
4,60,150
4,58,145
8,75,93.75
2,30,150
,,#DIV/0!
7,81,115.7142857
4,42,105
9,76,84.44444444
5,40,80
6,78,130
3,32,106.6666667
6,80,133.3333333
3,56,186.6666667
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
3,26,86.66666667
1,10,100
2,15,75
4,35,87.5
3,27,90
1,9,90
3,28,93.33333333
1,16,160
2,29,145
3,29,96.66666667
2,20,100
4,25,62.5
8,85,106.25
7,77,110
,,#DIV/0!
,,#DIV/0!
3,36,120
4,36,90
4,26,65
4,40,100
4,42,105
4,35,87.5
2,19,95
4,38,95
5,29,58
4,51,127.5
4,39,97.5
8,195,243.75
,,#DIV/0!
14,103,73.57142857
3,16,53.33333333
2,12,60
4,33,82.5
9,101,112.2222222
7,82,117.1428571
3,19,63.33333333
,,#DIV/0!
1,13,130
1,10,100
1,6,60
1,8,80
9,69,76.66666667
1,7,70
1,11,110
1,9,90
1,10,100
1,11,110
1,11,110
1,11,110
1,11,110
1,9,90
1,10,100
1,9,90
1,10,100
1,9,90
1,11,110
1,10,100
2,10,50
5,69,138
3,21,70
4,33,82.5
3,31,103.3333333
4,59,147.5
3,28,93.33333333
5,67,134
5,60,120
4,33,82.5
,,#DIV/0!
,,#DIV/0!
8,139,173.75
10,126,126
2,19,95
3,30,100
3,23,76.66666667
2,26,130
2,19,95
1,13,130
1,10,100
2,19,95
10,126,126
2,17,85
1,9,90
2,20,100
2,19,95
1,11,110
1,6,60
2,21,105
3,30,100
1,19,190
1,7,70
3,42,140
3,23,76.66666667
1,9,90
2,29,145
1,8,80
2,26,130
1,11,110
2,19,95
1,12,120
,,#DIV/0!
1,8,80
1,14,140
1,15,150
1,11,110
1,8,80
1,15,150
1,13,130
1,20,200
1,12,120
1,9,90
1,17,170
1,11,110
1,8,80
1,14,140
1,12,120
1,18,180
1,8,80
2,17,85
1,15,150
1,10,100
1,10,100
1,11,110
1,16,160
1,14,140
1,14,140
1,12,120
1,14,140
2,20,100
1,6,60
2,12,60
1,17,170
1,12,120
2,23,115
2,21,105
1,7,70
1,12,120
2,19,95
1,21,210
1,12,120
1,8,80
1,11,110
1,14,140
1,8,80
1,11,110
2,13,65
1,15,150
1,18,180
1,18,180
1,18,180
12,145,120.8333333
8,118,147.5
11,136,123.6363636
,,#DIV/0!
,,#DIV/0!
10,122,122
8,99,123.75
11,104,94.54545455
14,146,104.2857143
7,85,121.4285714
8,81,101.25
4,34,85
3,16,53.33333333
3,38,126.6666667
4,23,57.5
5,71,142
4,11,27.5
3,25,83.33333333
3,20,66.66666667
4,17,42.5
11,87,79.09090909
5,49,98
4,84,210
5,39,78
2,16,80
7,83,118.5714286
5,61,122
8,115,143.75
5,36,72
4,34,85
8,91,113.75
8,77,96.25
11,130,118.1818182
,,#DIV/0!
7,50,71.42857143
7,61,87.14285714
2,10,50
4,51,127.5
3,53,176.6666667
5,32,64
1,8,80
1,6,60
4,60,150
1,11,110
2,24,120
5,53,106
3,53,176.6666667
2,12,60
5,73,146
3,29,96.66666667
3,22,73.33333333
2,12,60
1,14,140
1,9,90
2,14,70
3,20,66.66666667
2,31,155
3,60,200
3,48,160
5,118,236
5,117,234
2,16,80
1,8,80
1,5,50
1,7,70
1,7,70
1,6,60
1,6,60
1,5,50
1,5,50
2,20,100
2,20,100
4,78,195
4,70,175
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
3,48,160
3,31,103.3333333
2,20,100
4,53,132.5
1,5,50
1,5,50
1,5,50
1,5,50
1,7,70
1,7,70
1,7,70
1,7,70
1,7,70
3,22,73.33333333
2,16,80
2,16,80
6,60,100
1,7,70
1,7,70
1,7,70
1,7,70
1,7,70
9,140,155.5555556
2,19,95
3,40,133.3333333
4,98,245
2,14,70
3,22,73.33333333
3,55,183.3333333
4,54,135
2,17,85
2,11,55
4,58,145
5,117,234
3,23,76.66666667
17,124,72.94117647
,,#DIV/0!
6,72,120
,,#DIV/0!
,,#DIV/0!
1,12,120
1,12,120
8,98,122.5
2,16,80
5,62,124
5,53,106
2,18,90
5,51,102
,,#DIV/0!
7,88,125.7142857
8,68,85
13,90,69.23076923
5,54,108
9,87,96.66666667
5,54,108
9,87,96.66666667
7,102,145.7142857
,,#DIV/0!
4,57,142.5
2,24,120
10,100,100
7,85,121.4285714
7,65,92.85714286
7,63,90
1,13,130
1,10,100
,,#DIV/0!
1,14,140
1,11,110
