Diameter102023,Height102023,Plot,HDR102023,Diameter062024,Height062024,Plot,HDR062024,Diameter102024,Height102024,Plot,HDR102024
4,31,1,77.5,4,42,1,105,3,18,2,60
3,8,1,26.66666667,1,8,1,80,4,34,2,85
2,6,1,30,2,14,2,70,14,128,3,91.42857143
1,6,1,60,2,26,2,130,7,111,3,158.5714286
1,5,1,50,4,36,3,90,7,100,3,142.8571429
1,3,1,30,4,35,3,87.5,6,104,3,173.3333333
1,3,1,30,1,10,3,100,4,71,3,177.5
4,27,2,67.5,3,31,3,103.3333333,4,76,3,190
2,14,2,70,3,24,3,80,2,26,3,130
5,57,3,114,2,13,3,65,4,60,3,150
4,40,3,100,3,35,3,116.6666667,4,58,3,145
3,52,3,173.3333333,3,26,3,86.66666667,8,75,3,93.75
2,27,3,135,3,43,3,143.3333333,2,30,3,150
2,14,3,70,2,48,3,240,7,81,3,115.7142857
3,52,3,173.3333333,3,26,3,86.66666667,4,42,3,105
2,14,3,70,4,49,3,122.5,9,76,3,84.44444444
5,57,3,114,3,25,3,83.33333333,5,40,3,80
3,10,3,33.33333333,3,44,3,146.6666667,6,78,3,130
3,35,3,116.6666667,5,35,3,70,3,32,3,106.6666667
3,41,3,136.6666667,5,42,3,84,6,80,3,133.3333333
2,13,3,65,3,23,3,76.66666667,3,56,3,186.6666667
3,16,3,53.33333333,2,19,3,95,3,26,3,86.66666667
2,13,3,65,3,26,3,86.66666667,1,10,3,100
4,22,3,55,3,14,3,46.66666667,2,15,3,75
3,21,3,70,3,21,3,70,4,35,3,87.5
3,25,3,83.33333333,4,22,3,55,3,27,3,90
4,27,3,67.5,3,24,3,80,1,9,3,90
3,25,3,83.33333333,2,10,3,50,3,28,3,93.33333333
3,25,3,83.33333333,2,16,3,80,1,16,3,160
6,50,3,83.33333333,2,18,3,90,2,29,3,145
6,55,3,91.66666667,3,31,3,103.3333333,3,29,3,96.66666667
3,28,3,93.33333333,4,39,3,97.5,2,20,3,100
2,10,3,50,3,29,3,96.66666667,4,25,3,62.5
2,12,3,60,1,8,3,80,8,85,3,106.25
5,51,3,102,4,35,3,87.5,7,77,3,110
2,11,3,55,5,36,3,72,3,36,3,120
4,46,3,115,3,36,3,120,4,36,3,90
4,43,3,107.5,2,25,3,125,4,26,3,65
4,40,3,100,4,49,3,122.5,4,40,3,100
4,46,3,115,5,53,3,106,4,42,3,105
4,45,3,112.5,4,41,3,102.5,4,35,3,87.5
