"","C61"
"1915",366.435367114713
"1916",578.16488895899
"1917",800.695520505573
"1918",157.416411411954
"1919",926.606469991002
"1920",600.174572930774
"1921",932.00372616987
"1922",1896.04321510619
"1923",1760.65376642562
"1924",2188.84059289856
"1925",5540.6384675771
"1926",3759.85808781626
"1927",1833.48499475452
"1928",3192.48802537427
"1929",5178.30476383092
"1930",2038.00895968852
"1931",1708.89791241332
"1932",2133.87528783135
"1933",1023.80734669307
"1934",1072.72602837991
"1935",1088.21345184358
"1936",1273.78418829848
"1937",505.282138510564
"1938",3558.62525534616
"1939",4275.83986258643
"1940",4400.25541396874
"1941",2780.50773292341
"1942",4839.21162005819
"1943",1949.74528576739
"1944",4770.82354621926
"1945",4405.19651089431
"1946",1620.90472961965
"1947",3993.79395733244
"1948",2561.27765861869
"1949",7212.12755130853
"1950",5433.49759171908
"1951",12678.1827243338
"1952",5799.33731286667
"1953",6173.32758199474
"1954",7588.7759219808
"1955",4647.31528679529
"1956",5655.24219678373
"1957",3828.63132091453
"1958",833.066491208162
"1959",7405.90004370415
"1960",6026.51184667379
"1961",1710.23811583934
"1962",1845.95209104103
"1963",2817.75728285776
"1964",2614.53393728234
"1965",3226.03081013665
"1966",2879.7525298059
"1967",2289.52455337566
"1968",2305.01197683933
"1969",2884.47685683837
"1970",2594.01179743203
"1971",988.911792134057
"1972",1112.03457813942
"1973",11030.401983722
"1974",2005.29398459037
"1975",3145.36602052602
"1976",5235.00328556511
"1977",6596.06751512488
"1978",1296.24626161238
"1979",20861.2135162082
"1980",4772.12793548903
"1981",13883.9294405335
"1982",2305.29440601888
"1983",2798.24202345292
"1984",4776.31913424818
"1985",3257.31636057743
"1986",2237.54124805524
"1987",1899.32146704021
"1988",2567.51057844341
"1989",2432.07526251009
"1990",2164.85547546619
"1991",2396.86146461527
"1992",1939.96613615529
"1993",1721.78880954879
"1994",3572.70084707131
"1995",4184.15059603581
"1996",20298.7097807867
"1997",35162.9794920582
"1998",16274.0075782911
"1999",14763.3341092228
"2000",4238.46873301638
"2001",2467.07229051182
"2002",3199.42434779414
"2003",15122.660680481
"2004",3028.13874729438
"2005",2678.74400705127
"2006",6383.4737411416
"2007",2754.32758470398
"2008",8778.88630322504
"2009",7149.88066278884
"2010",6460.43490717292
"2011",4812.2303657121
"2012",18791.6375193772
"2013",8402.24987060485
"2014",7377.72090007925
"2015",18285.5800357997
"2016",9586.4942700463
"2017",5447.12959056153
"2018",3876.11994962546
"2019",8103.30345351161
"2020",4203.89582002289
"2021",11855.6176348888
"2022",9993.90794341591
"2023",12390.0141691573
