"agency_cd","site_no","Date","Flow","Flow_cd","Year"
"USGS","09506000",1988-11-27,222,"A",1988
"USGS","09506000",1989-03-08,599,"A",1989
"USGS","09506000",1990-03-20,903,"A",1990
"USGS","09506000",1991-03-02,9010,"A",1991
"USGS","09506000",1992-03-05,8350,"A",1992
"USGS","09506000",1993-01-08,63400,"A e",1993
"USGS","09506000",1994-03-21,1370,"A",1994
"USGS","09506000",1995-02-15,45500,"A",1995
"USGS","09506000",1996-09-06,1170,"A",1996
"USGS","09506000",1997-01-27,2780,"A",1997
"USGS","09506000",1998-03-29,7090,"A",1998
"USGS","09506000",1999-09-24,5260,"A",1999
"USGS","09506000",2000-10-28,1070,"A",2000
"USGS","09506000",2001-03-14,2000,"A",2001
"USGS","09506000",2002-09-11,1280,"A",2002
"USGS","09506000",2003-03-17,7450,"A",2003
"USGS","09506000",2004-12-30,28700,"A",2004
"USGS","09506000",2005-02-12,35600,"A",2005
"USGS","09506000",2006-07-31,1040,"A",2006
"USGS","09506000",2007-12-08,7210,"A",2007
"USGS","09506000",2008-01-28,11600,"A",2008
"USGS","09506000",2009-02-25,3770,"A",2009
"USGS","09506000",2010-01-22,8020,"A",2010
"USGS","09506000",2011-03-05,1850,"A",2011
"USGS","09506000",2012-03-24,1610,"A",2012
"USGS","09506000",2013-01-28,10400,"A",2013
"USGS","09506000",2014-03-03,2500,"A",2014
"USGS","09506000",2015-03-03,14600,"A",2015
"USGS","09506000",2016-12-23,4760,"A",2016
"USGS","09506000",2017-01-02,5060,"A",2017
"USGS","09506000",2018-10-04,1160,"A",2018
"USGS","09506000",2019-02-15,22200,"A",2019
"USGS","09506000",2020-03-14,13100,"A",2020
"USGS","09506000",2021-07-25,5270,"A",2021
"USGS","09506000",2022-12-31,1190,"A",2022
"USGS","09506000",2023-03-22,34600,"A",2023
"USGS","09506000",2024-01-01,158,"A",2024
