DiameterCHD2023,HeightCHD.2023,DiameterCHD2024,HeightCHD2024
5,45,2,17
5,48,1,17
6,27,3,25
5,24,2,17
4,35,3,21
4,50,2,18
8,50,3,19
10,80,2,23
7,94,4,49
4,25,3,22
5,33,3,20
5,39,4,43
4,25,3,27
3,38,2,16
3,33,3,19
2,8,3,20
1,4,2,17
1,7,1,17
2,9,,
1,5,3,36
3,30,3,29
2,11,1,18
1,15,2,19
2,25,3,35
2,17,4,42
4,40,2,23
3,40,4,36
1,20,2,22
3,34,1,11
2,25,3,27
2,25,3,36
3,30,3,36
3,42,3,23
4,45,2,16
1,17,5,50
2,18,6,69
2,30,5,56
2,20,5,36
2,17,4,45
4,42,2,33
1,8,,
2,23,,
2,24,2,15
4,34,3,8
3,35,3,17
2,23,4,53
2,26,4,47
2,20,3,35
3,30,2,14
3,42,2,16
8,51,2,13
2,37,,
,,,
1,6,3,12
1,8,,
1,4,,
6,57,2,14
3,27,3,15
4,30,13,82
4,37,7,55
5,57,9,44
1,10,10,89
1,9,12,82
3,13,5,34
1,11,3,35
1,5,8,80
1,8,9,103
2,5,17,147
1,4,12,75
1,5,16,135
1,12,17,140
1,5,21,178
,,6,64
2,11,7,91
1,9,9,93
1,6,3,48
1,7,9,108
1,4,13,106
1,5,16,155
2,12,3,46
1,5,5,52
1,5,6,88
2,17,5,46
1,5,11,65
2,15,12,82
1,8,21,156
1,7,14,126
1,10,8,94
3,19,9,89
1,9,11,123
1,7,7,69
1,4,14,138
1,6,11,113
1,10,8,75
3,45,6,73
1,10,6,62
2,29,11,98
4,36,5,60
2,25,16,160
1,12,15,138
4,47,5,34
3,33,11,92
1,11,4,32
3,52,7,92
2,20,7,77
1,13,4,82
1,12,7,58
2,18,6,74
2,20,11,122
3,34,11,127
,,16,142
,,18,160
2,16,8,98
1,10,3,48
2,17,21,165
4,57,3,43
1,6,6,59
3,54,14,142
6,70,4,45
1,15,13,106
4,65,5,72
4,83,13,96
12,117,5,43
7,95,2,22
2,34,3,30
2,26,2,15
6,85,2,17
7,80,2,13
4,75,2,21
4,85,2,21
5,95,3,12
7,103,2,14
12,112,4,57
4,45,5,55
3,40,7,60
1,10,5,28
2,25,1,10
5,75,2,13
3,51,3,24
8,98,3,18
8,135,1,8
9,110,3,60
6,81,4,37
11,94,5,27
7,77,2,12
5,68,2,20
3,42,3,19
4,73,2,10
10,120,5,45
10,98,3,14
13,88,2,12
5,70,2,4
4,37,7,75
2,28,4,23
9,70,3,17
4,65,1,16
4,80,4,20
8,115,2,20
6,80,2,12
6,60,3,15
13,138,5,27
2,13,2,19
1,20,1,13
7,74,5,47
3,60,5,23
11,125,4,35
10,94,4,22
4,52,4,36
1,6,5,46
2,16,4,42
1,8,5,19
1,6,5,30
1,13,2,13
2,9,4,23
2,22,4,28
1,3,6,67
4,45,9,89
1,15,9,113
4,42,6,88
2,16,2,24
3,20,9,98
4,39,7,73
1,10,6,69
3,26,4,57
1,16,9,121
1,8,9,134
1,7,2,13
1,10,5,53
1,11,3,31
1,4,7,84
4,46,5,87
1,9,7,60
4,30,3,17
1,10,5,66
1,9,2,6
3,19,4,67
2,17,4,26
1,17,3,27
1,12,3,34
3,12,10,131
2,23,3,31
1,13,7,99
2,16,4,38
6,59,3,31
8,37,9,119
6,77,9,94
4,48,7,91
1,7,10,90
1,9,4,72
4,51,7,82
1,13,5,64
3,20,3,31
2,18,4,35
3,28,4,33
1,6,7,85
4,48,5,61
2,18,8,123
2,14,5,46
5,39,3,30
1,17,5,61
4,46,8,80
3,19,5,40
2,16,6,59
1,7,2,18
1,5,9,74
4,43,7,59
6,64,5,41
3,33,7,76
7,95,8,101
2,26,11,72
1,20,3,13
4,64,3,35
6,105,8,81
3,37,6,48
5,60,5,48
4,77,5,46
2,22,5,46
6,74,4,40
5,88,6,52
3,34,10,102
5,71,9,82
10,119,4,35
1,15,6,52
3,33,4,41
5,107,4,43
4,64,5,41
3,34,2,13
3,52,8,30
3,50,3,28
3,56,6,77
1,12,3,24
7,75,7,54
5,82,6,24
9,64,3,35
3,29,5,40
5,83,7,52
3,57,4,40
1,10,2,32
2,22,6,49
4,60,6,50
11,112,8,75
1,10,6,48
6,105,13,103
5,63,7,93
5,64,2,18
2,28,2,8
2,27,4,15
6,101,2,5
1,10,2,7
3,36,1,4
7,72,2,7
4,49,2,14
6,39,2,16
7,65,3,5
4,29,2,6
3,22,2,6
4,53,1,11
2,18,3,14
7,60,3,16
1,14,2,5
5,66,2,6
2,33,3,6
6,60,2,11
3,33,3,9
4,33,3,12
4,45,1,8
3,39,2,11
3,31,2,9
7,68,2,9
3,35,2,7
2,25,2,4
2,26,2,7
3,30,3,19
5,63,2,8
2,15,3,7
5,64,2,9
1,19,2,8
7,53,3,9
3,22,6,67
3,26,6,84
5,43,6,58
5,44,5,42
6,62,4,21
3,23,2,9
4,35,2,9
7,86,2,16
3,29,3,31
2,25,2,22
4,20,4,46
4,34,6,67
1,8,6,51
2,11,6,39
2,15,6,84
1,5,6,37
1,5,6,51
1,6,3,22
1,6,2,10
1,4,6,66
1,8,7,71
2,16,2,16
2,18,2,15
1,3,2,9
1,5,7,61
1,10,5,47
1,8,7,80
1,4,9,59
1,4,6,49
1,9,5,65
1,8,3,41
2,8,4,46
1,5,3,25
2,22,2,14
1,7,4,31
1,6,4,43
1,7,2,21
1,11,4,35
1,7,3,15
1,4,3,12
1,5,4,30
1,2,3,15
1,8,4,32
1,6,4,48
1,5,3,38
1,7,4,37
1,9,5,23
2,22,3,18
1,4,2,8
1,5,2,20
2,15,3,23
1,10,2,14
1,4,4,31
1,9,6,48
1,13,3,21
1,3,3,14
1,4,5,43
1,4,4,32
1,9,3,32
1,6,4,58
1,8,3,19
1,9,2,28
1,6,4,38
1,4,2,9
1,3,2,10
1,7,3,24
1,7,3,25
1,4,6,78
1,9,7,84
2,12,6,62
1,5,5,39
1,6,5,62
1,10,7,58
1,6,5,50
1,12,8,35
1,5,4,47
1,5,3,30
1,7,4,48
1,14,4,40
1,5,3,16
1,8,5,50
1,4,2,4
1,5,2,12
1,6,2,12
2,10,4,32
1,4,3,36
1,9,3,28
1,5,5,50
1,5,3,25
1,6,2,12
1,4,4,32
1,6,3,34
5,40,5,31
2,29,4,18
4,51,3,22
2,27,5,29
5,56,3,32
3,29,3,28
3,39,2,15
4,46,6,63
2,25,9,85
2,26,5,48
3,35,7,55
1,10,6,85
3,40,5,44
5,50,5,60
2,37,5,33
2,21,6,34
5,26,5,45
3,37,6,60
4,42,4,38
3,30,4,37
3,27,4,38
4,50,5,44
5,52,6,34
3,38,3,30
3,33,4,50
2,24,3,47
3,35,4,37
2,20,4,37
4,44,3,38
8,73,2,12
3,37,4,45
1,16,2,9
3,25,4,23
2,26,3,30
5,48,3,3
4,52,2,7
2,43,4,48
3,36,2,7
4,48,3,25
3,30,4,26
2,29,3,32
2,27,3,21
2,30,2,9
2,26,4,47
2,28,2,16
3,43,4,37
1,19,3,28
2,20,2,10
2,18,3,23
2,27,3,32
5,69,3,20
2,25,3,32
6,55,3,30
3,39,4,25
5,72,3,20
2,25,4,45
3,29,4,38
1,11,5,57
3,32,5,44
5,75,5,44
1,22,6,57
2,31,6,58
2,23,5,63
2,27,3,18
3,32,4,47
2,20,4,56
4,54,3,34
1,15,4,44
3,50,4,46
2,28,3,48
5,67,3,32
2,29,3,37
3,37,4,41
1,19,3,40
1,11,2,26
5,65,2,30
1,10,3,43
2,29,2,11
2,20,7,83
2,33,4,33
3,41,4,41
5,54,5,63
2,37,4,59
6,68,8,93
3,35,7,86
3,39,8,68
3,42,4,44
3,34,4,14
2,26,3,21
1,9,2,25
3,29,4,24
1,10,3,25
3,27,7,67
2,25,7,14
3,39,3,29
3,37,4,53
4,47,3,14
6,64,6,55
6,68,3,24
5,62,3,38
5,53,4,54
2,18,4,46
2,23,4,34
2,16,4,55
2,19,7,13
2,27,6,20
3,25,3,11
2,32,4,42
2,14,3,17
1,16,4,29
3,30,4,26
3,29,5,73
2,33,3,51
4,47,3,26
2,25,3,17
4,45,5,55
2,29,4,34
2,22,3,43
3,35,5,21
3,40,4,59
3,33,3,23
5,72,7,84
3,40,2,14
1,12,4,45
4,46,3,32
2,34,3,39
2,30,3,9
5,47,2,22
4,50,6,18
2,34,1,12
3,46,4,30
3,27,4,48
3,35,2,14
3,44,4,26
1,5,2,7
3,36,5,63
2,16,5,58
3,49,2,32
3,25,6,40
1,21,3,43
3,40,3,30
4,60,6,59
1,10,3,38
1,10,7,88
1,11,3,36
1,18,7,14
1,12,5,59
2,25,5,39
2,27,4,44
3,40,4,45
2,35,7,53
4,42,3,34
4,46,3,17
1,7,2,18
1,12,5,54
3,37,5,58
2,15,3,40
2,20,2,19
3,43,4,61
1,8,2,29
2,20,6,45
3,40,3,34
3,40,3,33
5,45,4,30
1,10,3,9
2,18,4,25
5,47,5,62
3,26,2,13
4,45,2,36
3,31,5,63
3,40,5,60
4,41,3,36
1,8,2,29
3,41,2,25
1,10,8,25
2,20,2,17
1,14,4,18
1,10,4,55
1,6,3,17
3,35,4,19
1,12,4,26
4,47,3,19
1,12,3,21
4,47,4,21
3,43,3,32
2,24,4,28
2,18,5,58
1,5,6,48
4,50,2,15
3,34,6,31
1,11,4,44
4,51,4,37
4,52,3,29
2,12,4,26
3,20,3,32
4,36,11,44
3,26,3,23
2,22,2,29
4,55,3,30
4,35,4,13
1,10,3,21
3,31,3,29
5,60,3,16
2,20,3,18
2,32,6,21
3,30,2,13
2,26,4,19
1,10,5,32
4,39,5,44
5,50,5,40
3,43,6,52
1,16,3,20
4,32,5,35
5,50,4,23
2,16,2,10
3,32,4,25
4,42,6,29
3,40,7,79
2,11,3,32
2,20,3,14
3,35,4,22
4,26,3,16
1,16,3,16
1,13,3,18
3,25,1,11
1,10,5,44
1,11,3,24
1,10,4,36
4,39,8,58
3,25,2,18
3,36,3,17
1,10,5,40
2,17,5,32
1,9,2,20
4,39,3,32
5,50,3,25
4,43,5,40
5,43,5,51
1,10,7,62
2,22,10,87
2,19,10,86
3,17,5,48
3,25,4,40
3,31,3,28
5,52,7,55
5,55,9,97
2,27,12,120
3,40,4,26
4,30,4,40
1,10,6,42
4,38,4,40
3,31,7,89
3,31,7,68
5,53,9,72
2,32,3,22
3,22,6,36
1,11,3,26
7,85,3,18
2,29,2,19
2,18,3,25
3,24,4,36
5,61,5,70
2,18,2,20
1,15,2,15
4,53,3,22
2,28,5,34
1,14,2,15
2,29,1,13
1,27,4,28
7,100,5,47
3,41,4,39
2,20,3,25
5,55,3,29
2,18,4,30
3,65,3,29
3,83,2,15
2,40,4,33
5,83,2,13
2,13,3,42
4,68,5,50
3,31,5,55
3,49,4,50
3,35,4,48
3,55,3,26
4,62,2,17
1,12,1,21
3,40,4,40
2,21,5,44
3,45,5,77
2,23,2,17
5,89,4,26
4,52,4,50
2,18,3,44
2,30,9,68
2,25,3,48
4,50,4,46
3,35,4,48
5,72,3,20
2,24,1,12
2,22,5,61
3,39,5,54
2,25,4,33
1,15,3,37
2,29,5,76
3,37,4,45
2,24,4,42
3,37,3,47
3,29,2,23
2,21,4,47
3,27,5,47
1,12,8,74
3,32,5,55
2,19,4,40
4,52,3,23
4,36,6,66
3,30,6,66
2,23,6,57
1,19,2,27
2,20,3,36
3,35,5,52
,,5,64
,,5,35
,,4,32
,,5,63
,,5,58
,,5,51
,,4,43
,,5,57
