DiameterCHD2022,HeightCHD.2023,DiameterCHD2023,HeightCHD2024
0.5,45,0.2,17
0.5,48,0.1,17
0.6,27,0.3,25
0.5,24,0.2,17
0.4,35,0.3,21
0.4,50,0.2,18
0.8,50,0.3,19
1,80,0.2,23
0.7,94,0.4,49
0.4,25,0.3,22
0.5,33,0.3,20
0.5,39,0.4,43
0.4,25,0.3,27
0.3,38,0.2,16
0.3,33,0.3,19
0.2,8,0.3,20
0.1,4,0.2,17
0.1,7,0.1,17
0.2,9,0,
0.1,5,0.3,36
0.3,30,0.3,29
0.2,11,0.1,18
0.1,15,0.2,19
0.2,25,0.3,35
0.2,17,0.4,42
0.4,40,0.2,23
0.3,40,0.4,36
0.1,20,0.2,22
0.3,34,0.1,11
0.2,25,0.3,27
0.2,25,0.3,36
0.3,30,0.3,36
0.3,42,0.3,23
0.4,45,0.2,16
0.1,17,0.5,50
0.2,18,0.6,69
0.2,30,0.5,56
0.2,20,0.5,36
0.2,17,0.4,45
0.4,42,0.2,33
0.1,8,0,
0.2,23,0,
0.2,24,0.2,15
0.4,34,0.3,8
0.3,35,0.3,17
0.2,23,0.4,53
0.2,26,0.4,47
0.2,20,0.3,35
0.3,30,0.2,14
0.3,42,0.2,16
0.8,51,0.2,13
0.2,37,0,
0.1,6,0.3,12
0.1,8,0,
0.1,4,0,
0.6,57,0.2,14
0.3,27,0.3,15
0.4,30,1.3,82
0.4,37,0.7,55
0.5,57,0.9,44
0.1,10,1,89
0.1,9,1.2,82
0.3,13,0.5,34
0.1,11,0.3,35
0.1,5,0.8,80
0.1,8,0.9,103
0.2,5,1.7,147
0.1,4,1.2,75
0.1,5,1.6,135
0.1,12,1.7,140
0.1,5,2.1,178
0,,0.6,64
0.2,11,0.7,91
0.1,9,0.9,93
0.1,6,0.3,48
0.1,7,0.9,108
0.1,4,1.3,106
0.1,5,1.6,155
0.2,12,0.3,46
0.1,5,0.5,52
0.1,5,0.6,88
0.2,17,0.5,46
0.1,5,1.1,65
0.2,15,1.2,82
0.1,8,2.1,156
0.1,7,1.4,126
0.1,10,0.8,94
0.3,19,0.9,89
0.1,9,1.1,123
0.1,7,0.7,69
0.1,4,1.4,138
0.1,6,1.1,113
0.1,10,0.8,75
0.3,45,0.6,73
0.1,10,0.6,62
0.2,29,1.1,98
0.4,36,0.5,60
0.2,25,1.6,160
0.1,12,1.5,138
0.4,47,0.5,34
0.3,33,1.1,92
0.1,11,0.4,32
0.3,52,0.7,92
0.2,20,0.7,77
0.1,13,0.4,82
0.1,12,0.7,58
0.2,18,0.6,74
0.2,20,1.1,122
0.3,34,1.1,127
0,,1.6,142
0,,1.8,160
0.2,16,0.8,98
0.1,10,0.3,48
0.2,17,2.1,165
0.4,57,0.3,43
0.1,6,0.6,59
0.3,54,1.4,142
0.6,70,0.4,45
0.1,15,1.3,106
0.4,65,0.5,72
0.4,83,1.3,96
1.2,117,0.5,43
0.7,95,0.2,22
0.2,34,0.3,30
0.2,26,0.2,15
0.6,85,0.2,17
0.7,80,0.2,13
0.4,75,0.2,21
0.4,85,0.2,21
0.5,95,0.3,12
0.7,103,0.2,14
1.2,112,0.4,57
0.4,45,0.5,55
0.3,40,0.7,60
0.1,10,0.5,28
0.2,25,0.1,10
0.5,75,0.2,13
0.3,51,0.3,24
0.8,98,0.3,18
0.8,135,0.1,8
0.9,110,0.3,60
0.6,81,0.4,37
1.1,94,0.5,27
0.7,77,0.2,12
0.5,68,0.2,20
0.3,42,0.3,19
0.4,73,0.2,10
1,120,0.5,45
1,98,0.3,14
1.3,88,0.2,12
0.5,70,0.2,4
0.4,37,0.7,75
0.2,28,0.4,23
0.9,70,0.3,17
0.4,65,0.1,16
0.4,80,0.4,20
0.8,115,0.2,20
0.6,80,0.2,12
0.6,60,0.3,15
1.3,138,0.5,27
0.2,13,0.2,19
0.1,20,0.1,13
0.7,74,0.5,47
0.3,60,0.5,23
1.1,125,0.4,35
1,94,0.4,22
0.4,52,0.4,36
0.1,6,0.5,46
0.2,16,0.4,42
0.1,8,0.5,19
0.1,6,0.5,30
0.1,13,0.2,13
0.2,9,0.4,23
0.2,22,0.4,28
0.1,3,0.6,67
0.4,45,0.9,89
0.1,15,0.9,113
0.4,42,0.6,88
0.2,16,0.2,24
0.3,20,0.9,98
0.4,39,0.7,73
0.1,10,0.6,69
0.3,26,0.4,57
0.1,16,0.9,121
0.1,8,0.9,134
0.1,7,0.2,13
0.1,10,0.5,53
0.1,11,0.3,31
0.1,4,0.7,84
0.4,46,0.5,87
0.1,9,0.7,60
0.4,30,0.3,17
0.1,10,0.5,66
0.1,9,0.2,6
0.3,19,0.4,67
0.2,17,0.4,26
0.1,17,0.3,27
0.1,12,0.3,34
0.3,12,1,131
0.2,23,0.3,31
0.1,13,0.7,99
0.2,16,0.4,38
0.6,59,0.3,31
0.8,37,0.9,119
0.6,77,0.9,94
0.4,48,0.7,91
0.1,7,1,90
0.1,9,0.4,72
0.4,51,0.7,82
0.1,13,0.5,64
0.3,20,0.3,31
0.2,18,0.4,35
0.3,28,0.4,33
0.1,6,0.7,85
0.4,48,0.5,61
0.2,18,0.8,123
0.2,14,0.5,46
0.5,39,0.3,30
0.1,17,0.5,61
0.4,46,0.8,80
0.3,19,0.5,40
0.2,16,0.6,59
0.1,7,0.2,18
0.1,5,0.9,74
0.4,43,0.7,59
0.6,64,0.5,41
0.3,33,0.7,76
0.7,95,0.8,101
0.2,26,1.1,72
0.1,20,0.3,13
0.4,64,0.3,35
0.6,105,0.8,81
0.3,37,0.6,48
0.5,60,0.5,48
0.4,77,0.5,46
0.2,22,0.5,46
0.6,74,0.4,40
0.5,88,0.6,52
0.3,34,1,102
0.5,71,0.9,82
1,119,0.4,35
0.1,15,0.6,52
0.3,33,0.4,41
0.5,107,0.4,43
0.4,64,0.5,41
0.3,34,0.2,13
0.3,52,0.8,30
0.3,50,0.3,28
0.3,56,0.6,77
0.1,12,0.3,24
0.7,75,0.7,54
0.5,82,0.6,24
0.9,64,0.3,35
0.3,29,0.5,40
0.5,83,0.7,52
0.3,57,0.4,40
0.1,10,0.2,32
0.2,22,0.6,49
0.4,60,0.6,50
1.1,112,0.8,75
0.1,10,0.6,48
0.6,105,1.3,103
0.5,63,0.7,93
0.5,64,0.2,18
0.2,28,0.2,8
0.2,27,0.4,15
0.6,101,0.2,5
0.1,10,0.2,7
0.3,36,0.1,4
0.7,72,0.2,7
0.4,49,0.2,14
0.6,39,0.2,16
0.7,65,0.3,5
0.4,29,0.2,6
0.3,22,0.2,6
0.4,53,0.1,11
0.2,18,0.3,14
0.7,60,0.3,16
0.1,14,0.2,5
0.5,66,0.2,6
0.2,33,0.3,6
0.6,60,0.2,11
0.3,33,0.3,9
0.4,33,0.3,12
0.4,45,0.1,8
0.3,39,0.2,11
0.3,31,0.2,9
0.7,68,0.2,9
0.3,35,0.2,7
0.2,25,0.2,4
0.2,26,0.2,7
0.3,30,0.3,19
0.5,63,0.2,8
0.2,15,0.3,7
0.5,64,0.2,9
0.1,19,0.2,8
0.7,53,0.3,9
0.3,22,0.6,67
0.3,26,0.6,84
0.5,43,0.6,58
0.5,44,0.5,42
0.6,62,0.4,21
0.3,23,0.2,9
0.4,35,0.2,9
0.7,86,0.2,16
0.3,29,0.3,31
0.2,25,0.2,22
0.4,20,0.4,46
0.4,34,0.6,67
0.1,8,0.6,51
0.2,11,0.6,39
0.2,15,0.6,84
0.1,5,0.6,37
0.1,5,0.6,51
0.1,6,0.3,22
0.1,6,0.2,10
0.1,4,0.6,66
0.1,8,0.7,71
0.2,16,0.2,16
0.2,18,0.2,15
0.1,3,0.2,9
0.1,5,0.7,61
0.1,10,0.5,47
0.1,8,0.7,80
0.1,4,0.9,59
0.1,4,0.6,49
0.1,9,0.5,65
0.1,8,0.3,41
0.2,8,0.4,46
0.1,5,0.3,25
0.2,22,0.2,14
0.1,7,0.4,31
0.1,6,0.4,43
0.1,7,0.2,21
0.1,11,0.4,35
0.1,7,0.3,15
0.1,4,0.3,12
0.1,5,0.4,30
0.1,2,0.3,15
0.1,8,0.4,32
0.1,6,0.4,48
0.1,5,0.3,38
0.1,7,0.4,37
0.1,9,0.5,23
0.2,22,0.3,18
0.1,4,0.2,8
0.1,5,0.2,20
0.2,15,0.3,23
0.1,10,0.2,14
0.1,4,0.4,31
0.1,9,0.6,48
0.1,13,0.3,21
0.1,3,0.3,14
0.1,4,0.5,43
0.1,4,0.4,32
