Diameter102023,Height102023,Plot102023,HDR102023,Diameter062024,Height062024,Plot062024,HDR062024,Diameter122024,Height122024,Plot122024,HDR122024
4,25,1,62.5,2,17,1,85,4,33,1,82.5
3,38,1,126.6666667,1,17,1,170,6,39,1,65
3,33,1,110,3,25,1,83.33333333,7,64,1,91.42857143
2,8,1,40,2,17,1,85,4,74,1,185
1,4,1,40,3,21,1,70,6,68,1,113.3333333
1,7,1,70,2,18,1,90,6,57,1,95
2,9,1,45,3,19,1,63.33333333,7,43,1,61.42857143
1,5,1,50,2,23,1,115,5,38,1,76
3,30,1,100,4,49,1,122.5,6,87,1,145
2,11,1,55,3,22,1,73.33333333,5,51,1,102
1,15,1,150,3,20,1,66.66666667,5,86,1,172
2,25,1,125,4,43,1,107.5,5,41,1,82
2,17,1,85,3,27,1,90,7,81,1,115.7142857
4,40,1,100,2,16,1,80,6,63,1,105
3,40,1,133.3333333,3,19,1,63.33333333,6,58,1,96.66666667
1,20,1,200,3,20,1,66.66666667,10,88,1,88
3,34,1,113.3333333,2,17,1,85,12,97,1,80.83333333
2,25,1,125,1,17,1,170,8,67,1,83.75
2,25,1,125,3,36,1,120,8,70,1,87.5
3,30,1,100,3,29,1,96.66666667,5,53,1,106
3,42,1,140,1,18,1,180,5,57,1,114
4,45,1,112.5,2,19,1,95,8,83,1,103.75
1,17,1,170,3,35,1,116.6666667,5,30,1,60
2,18,1,90,4,42,1,105,6,51,1,85
2,30,1,150,2,23,1,115,4,35,1,87.5
2,20,1,100,4,36,1,90,6,60,1,100
2,17,1,85,2,22,1,110,6,76,1,126.6666667
4,42,1,105,1,11,1,110,10,94,1,94
1,8,1,80,3,27,1,90,15,121,1,80.66666667
2,23,1,115,3,36,1,120,3,14,1,46.66666667
2,24,1,120,3,36,1,120,4,28,1,70
4,34,1,85,3,23,1,76.66666667,12,90,2,75
3,35,1,116.6666667,2,16,1,80,15,84,2,56
2,23,1,115,5,50,1,100,11,90,2,81.81818182
2,26,1,130,6,69,1,115,26,203,3,78.07692308
2,20,1,100,5,56,1,112,13,134,3,103.0769231
3,30,1,100,5,36,1,72,10,114,3,114
3,42,1,140,4,45,1,112.5,13,129,3,99.23076923
8,51,1,63.75,2,33,1,165,14,102,3,72.85714286
2,37,1,185,3,17,1,56.66666667,9,119,3,132.2222222
1,6,1,60,4,53,1,132.5,11,70,3,63.63636364
1,8,1,80,4,47,1,117.5,8,66,3,82.5
1,4,1,40,3,35,1,116.6666667,14,131,3,93.57142857
6,57,1,95,2,14,1,70,14,153,3,109.2857143
3,27,1,90,2,16,1,80,12,157,3,130.8333333
4,30,1,75,2,13,1,65,19,155,3,81.57894737
4,37,1,92.5,3,12,1,40,14,176,3,125.7142857
5,57,1,114,2,14,1,70,12,120,3,100
1,10,1,100,3,15,1,50,9,113,3,125.5555556
1,9,1,90,13,82,2,63.07692308,18,155,3,86.11111111
3,13,1,43.33333333,7,55,2,78.57142857,23,155,3,67.39130435
1,11,1,110,9,44,2,48.88888889,4,43,4,107.5
1,5,1,50,10,89,2,89,6,69,4,115
1,8,1,80,12,82,2,68.33333333,6,55,4,91.66666667
2,5,1,25,5,34,2,68,9,120,5,133.3333333
1,4,1,40,3,35,2,116.6666667,9,124,5,137.7777778
1,5,1,50,8,80,2,100,8,113,5,141.25
1,12,1,120,9,103,2,114.4444444,11,84,5,76.36363636
1,5,1,50,17,147,2,86.47058824,6,60,5,100
2,11,1,55,12,75,2,62.5,8,112,5,140
1,9,1,90,16,135,2,84.375,6,56,5,93.33333333
1,6,1,60,17,140,3,82.35294118,5,71,5,142
1,7,1,70,21,178,3,84.76190476,6,56,5,93.33333333
1,4,1,40,6,64,3,106.6666667,4,50,5,125
1,5,1,50,7,91,3,130,9,91,5,101.1111111
2,12,1,60,9,93,3,103.3333333,8,122,5,152.5
1,5,1,50,3,48,3,160,9,120,5,133.3333333
1,5,1,50,9,108,3,120,5,67,5,134
2,17,1,85,13,106,3,81.53846154,7,94,5,134.2857143
1,5,1,50,16,155,3,96.875,8,158,5,197.5
2,15,1,75,3,46,3,153.3333333,10,118,5,118
1,8,1,80,5,52,3,104,8,91,5,113.75
1,7,1,70,6,88,3,146.6666667,7,96,5,137.1428571
1,10,1,100,5,46,3,92,8,96,5,120
3,19,1,63.33333333,11,65,3,59.09090909,5,82,5,164
1,9,1,90,12,82,3,68.33333333,8,69,6,86.25
1,7,1,70,21,156,3,74.28571429,13,67,6,51.53846154
1,4,1,40,14,126,3,90,6,56,6,93.33333333
1,6,1,60,8,94,3,117.5,8,48,6,60
1,10,1,100,9,89,3,98.88888889,9,85,6,94.44444444
3,45,1,150,11,123,3,111.8181818,11,96,6,87.27272727
1,10,1,100,7,69,3,98.57142857,6,41,6,68.33333333
2,29,1,145,14,138,3,98.57142857,11,114,6,103.6363636
4,36,1,90,11,113,3,102.7272727,14,110,6,78.57142857
2,25,1,125,8,75,3,93.75,6,57,6,95
1,12,1,120,6,73,3,121.6666667,11,90,6,81.81818182
4,47,1,117.5,6,62,3,103.3333333,5,46,6,92
3,33,1,110,11,98,3,89.09090909,8,114,6,142.5
1,11,1,110,5,60,3,120,14,109,6,77.85714286
3,52,1,173.3333333,16,160,3,100,10,94,6,94
2,20,1,100,15,138,3,92,6,51,6,85
1,13,1,130,5,34,3,68,4,66,6,165
1,12,1,120,11,92,3,83.63636364,7,58,6,82.85714286
2,18,1,90,4,32,3,80,12,91,6,75.83333333
2,20,1,100,7,92,3,131.4285714,8,104,6,130
3,34,1,113.3333333,7,77,3,110,8,91,6,113.75
2,16,1,80,4,82,3,205,6,71,6,118.3333333
1,10,1,100,7,58,3,82.85714286,12,142,6,118.3333333
2,17,1,85,6,74,3,123.3333333,11,93,6,84.54545455
5,45,2,90,11,122,3,110.9090909,6,50,6,83.33333333
5,48,2,96,11,127,3,115.4545455,50,111,6,22.2
6,27,2,45,16,142,3,88.75,3,26,7,86.66666667
5,24,2,48,18,160,3,88.88888889,3,9,7,30
4,35,2,87.5,8,98,3,122.5,3,15,8,50
4,50,2,125,3,48,3,160,5,40,8,80
8,50,2,62.5,21,165,3,78.57142857,5,51,8,102
10,80,2,80,3,43,3,143.3333333,9,95,8,105.5555556
7,94,2,134.2857143,6,59,3,98.33333333,3,19,8,63.33333333
4,25,2,62.5,14,142,3,101.4285714,3,15,8,50
5,33,2,66,4,45,3,112.5,8,87,8,108.75
5,39,2,78,13,106,3,81.53846154,5,62,8,124
4,57,3,142.5,5,72,3,144,6,60,8,100
1,6,3,60,13,96,3,73.84615385,6,54,8,90
3,54,3,180,5,43,4,86,4,60,8,150
6,70,3,116.6666667,2,22,4,110,5,60,8,120
1,15,3,150,3,30,4,100,6,70,8,116.6666667
4,65,3,162.5,2,15,4,75,8,45,8,56.25
4,83,3,207.5,2,17,4,85,2,24,8,120
12,117,3,97.5,2,13,4,65,4,31,8,77.5
7,95,3,135.7142857,2,21,4,105,5,60,8,120
2,34,3,170,2,21,4,105,3,15,8,50
2,26,3,130,3,12,4,40,6,41,8,68.33333333
6,85,3,141.6666667,2,14,4,70,6,66,8,110
7,80,3,114.2857143,4,57,4,142.5,6,57,8,95
4,75,3,187.5,5,55,4,110,8,64,8,80
4,85,3,212.5,7,60,4,85.71428571,6,55,8,91.66666667
5,95,3,190,5,28,4,56,6,30,8,50
7,103,3,147.1428571,1,10,4,100,5,53,8,106
12,112,3,93.33333333,2,13,4,65,7,65,8,92.85714286
4,45,3,112.5,3,24,4,80,7,95,8,135.7142857
3,40,3,133.3333333,3,18,4,60,6,45,8,75
1,10,3,100,1,8,4,80,4,65,8,162.5
2,25,3,125,3,60,4,200,2,23,8,115
5,75,3,150,4,37,4,92.5,4,24,8,60
3,51,3,170,5,27,4,54,7,75,8,107.1428571
8,98,3,122.5,2,12,4,60,5,13,8,26
8,135,3,168.75,2,20,4,100,5,56,8,112
9,110,3,122.2222222,3,19,4,63.33333333,5,59,8,118
6,81,3,135,2,10,4,50,5,29,8,58
11,94,3,85.45454545,5,45,4,90,9,105,8,116.6666667
7,77,3,110,3,14,4,46.66666667,7,73,8,104.2857143
5,68,3,136,2,12,4,60,4,28,8,70
3,42,3,140,2,4,4,20,6,66,8,110
4,73,3,182.5,7,75,4,107.1428571,5,63,8,126
10,120,3,120,4,23,4,57.5,8,104,8,130
10,98,3,98,3,17,4,56.66666667,7,101,8,144.2857143
13,88,3,67.69230769,1,16,4,160,5,66,8,132
5,70,3,140,4,20,4,50,3,43,8,143.3333333
