Plot,%Change Density,%ChangeHeight,%ChangeDiameter,%ChangeHDR,Distance to groundwater,BraunClass,Light
C1,-68.68686869,268.6557256,242.2816722,7.70536537,0.1,6,2484.707297
C2,-75,109.7041384,130.8204539,-9.148372735,3.1,4,388.0690545
C3,-67.30769231,111.095495,184.5803217,-25.82217432,0.5,7,3969.014008
C4,-94.91525424,229.1540547,176.0210988,19.24959944,0.25,7,2113.858506
C5,-51.1627907,96.95252932,111.6916766,-6.962553974,1,3,5923.199716
C6,-36.58536585,113.5514537,148.395939,-14.02779988,0.5,4,4105.599046
C7,-97.5,130.7177026,175.101213,-16.13352043,1,3,412.6600749
C8,6.451612903,54.32983755,63.69628314,-5.721843776,0.2,5,3896.703244
C9,-62.65060241,152.6176079,101.5941059,25.31001681,0.2,5,3186.630816
C10,-56.63716814,66.15735471,88.21450897,-11.71915725,0.5,7,3186.500617
