,Core,ID,ID2,Diameter (CM),InnerRing,PithHand,PithCalc,minage,,,,,,,,Min Age
,C1Popfre,C1,C,53.0,2005,2003,,,,,,,Year,Count Total,Count Childs,Count Sheep
,C5Popfre,C5Po,C,22.5,1998,,,1998,,,,,1985,0,0,
,C11Popfre,C11,C,44.2,2005,2003,,,,,,,1986,0,0,
,C12Popfre,C12,C,28.0,2003,2003,,,,,,,1987,1,0,
,C13Popfre,C13,C,30.5,1993,1993,,,,,,,1988,1,0,
,C14Popfre,C14,C,30.5,2001,1999,,,,,,,1989,1,1,
,C15Popfre,C15,C,28.0,NA,NA,,,,,,,1990,0,0,
,C16,C16,C,53.0,1997,1995,,,,,,,1991,3,1,
,C17Popfre,C17,C,32.0,2004,2002,,,,,,,1992,1,1,
??,C18Popfre,C18,C,,2006,2003,,,,,,,1993,8,2,
,C18Popfre,C18P,C,37.5,2001,,,2001,,,,,1994,6,2,
,C19Popfre,C19,C,,,,,,,,,,1995,6,4,
,C21Popfre,C21,C,61.0,Na,,,NA,,,,,1996,1,1,
,C22Popfre,C22,C,,,,,,,,,,1997,14,5,
,C23Popfre,C23,C,40.0,2001,,,2001,,,,,1998,17,11,
,C23BPopfre,C23B,C,47.0,2001,1998,,,,,,,1999,11,4,
,C24,C24,C,25.5,1993,1992,,,,,,,2000,6,1,
,C25Popfre,C25,C,37.0,1998,1998,,,,,,,2001,10,3,
,C26Popfre,C26,C,65.0,1993,1993,,,,,,,2002,7,1,
,C27Popfre,C27,C,33.5,1995,1995,,,,,,,2003,9,2,
,C28Popfre,C28,C,39.6,2000,1999,,,,,,,2004,1,0,
,C29Popfre,C29,C,26.5,2002,2000,,,,,,,2005,5,1,
,C2Popfre,C2P,C,49.5,1999,1998,,,,,,,2006,5,2,
,C3Popfre,C3,C,14.2,1998,1998,,,,,,,2007,5,1,
,C30Popfre,C30,C,28.2,2000,1997,,,,,,,2008,3,1,
,C31Popfre,C31,C,43.3,1994,1993,,,,,,,2009,2,1,
,C32Popfre,C32,C,29.5,1999,1996,,,,,,,2010,5,3,
,C33Popfre,C33,C,18.0,2003,2001,,,,,,,2011,1,0,
,C34Popfre,C34P,C,19.5,,,,1995,,,,,2012,1,1,
,C35Popdel,C35,C,17.0,1999,1998,,,,,,,2013,0,0,
,C36Popfre,C36,C,15.5,2002,2001,,,,,,,2014,2,2,
,C37Popfre,C37,C,24.5,1997,1995,,,,,,,2015,0,0,
,C38Popfre,C38,C,22.2,1996,1995,,,,,,,2016,1,1,
,C4Popfre,C4,C,30.5,2003,2001,,,,,,,2017,0,0,
,C39Popfre,C39P,C,17.5,,,,2000,,,,,2018,0,0,
,C40Popfre,C40,C,11.5,2006,2005,,,,,,,2019,0,0,
,C41Popfre,C41,C,,,,,,,,,,2020,0,0,
,C42Popfre,C42P,C,13.0,2003,,,2003,,,,,2021,0,0,
,C43Popfre,C43,C,,,,,,,,,,2022,0,0,
,C44Popfre,C44,C,16.6,1997,1997,,,,,,,2023,0,0,
,C47Popfre,C47,C,24.5,1990,1989,,,,,,,Count,133,52,
,C48Popfre,C48,C,,,,,,,,,,,,0,
,C49Popfre,C49,C,24.6,1997,1997,,,,,,,,,0,
,C50Popfre,C50,C,,,,,,,,,,,,0,
,C51Popfre,C51,C,2007.0,,,,2007,,,,,,,0,
,C52Popfre,C52,C,31.6,2000,1999,,,,,,,,,0,
,C53Popfre,C53,C,26.5,2005,2003,,,,,,,,,0,
,C54Popfre,C54,C,,,,,,,,,,,,0,
,C55Popfre,C55,C,,,,,,,,,,,,0,
,C56Popfre,C56,C,35.3,2001,1997,,,,,,,,,0,
,C57Popfre,C57,C,47.0,2000,1998,,,,,,,,,0,
,C58Popfre,C58,C,44.5,2000,1999,,,,,,,,,0,
,C59Popfre,C59,C,,,,,,,,,,,,0,
,C6Popfre,C6,C,37.5,2000,1999,,,,,,,,,0,
,C60Popfre,C60,C,49.7,2008,2006,,,,,,,,,0,
,C61Popfre,C61,C,129.0,1914,,,1914,,,,,,,0,
,C62Popfre,C62,C,52.0,2012,2010,,,,,,,,,0,
,C63Popfre,C63,C,28.2,2011,2009,,,,,,,,,0,
,C64Popfre,C64,C,17.5,2011,2010,,,,,,,,,0,
,C65Popfre,C65,C,48.5,2008,2003,,,,,,,,,0,
,C66Popfre,C66,C,40.8,2008,2006,,,,,,,,,0,
,C67Popfre,C67,C,45.0,2007,2007,,,,,,,,,0,
,C68Popfre,C68,C,20.5,2014,2012,,,,,,,,,0,
,C69Popfre,C69,C,35.0,2009,2008,,,,,,,,,0,
,C70Popfre,C70,C,,,,,,,,,,,,0,
,C7Popfre,C7P,C,32.0,1997,1994,,,,,,,,,0,
,C8Popfre,C8P,C,,,,,,,,,,,,0,
ID???,C9Popfre,C9,C,55.7,2000,1997,,,,,,,,,0,
,C91Popfre,C91,C,13.0,1999,1998,,,,,,,,,0,
,C96Popfre,C96,C,17.0,1992,1991,,,,,,,,,0,
,LB10Popfre,LB10,L,43.3,1998,1998,,,,,,,,,0,
,LB11Popfre,LB11,L,6.9,2016,2014,,,,,,,,,0,
,LB12Popfre,LB12,L,5.5,2016,2016,,,,,,,,,0,
,LB13Popfre,LB13,L,5.1,2015,2014,2013,,,,,,,,0,
,LB14Popfre,LB14,L,28.5,2015,2010,,,,,,,,,0,
,LB15Popfre,LB15,L,,,,,,,,,,,,0,
,LB16Popfre,LB16,L,,,,,,,,,,,,0,
,LB17Popfre,LB17,L,19.0,1995,1995,,,,,,,,,0,
,LB18Popfre,LB18,L,25.3,1997,1994,1993,,,,,,,,0,
,LB19Popfre,LB19,L,48.4,2001,1998,,,,,,,,,,
,LB1Popfre,LB1P,L,34.5,1998,1998,,,,,,,,,,
,LB20Popfre,LB20,L,44.5,2000,1998,1997,,,,,,,,,
,LB21Popfre,LB21,L,30.2,2003,2002,,,,,,,,,,
,LB22Popfre,LB22,L,55.5,1996,1994,,,,,,,,,,
