Year,std,samp.depth,Standardized,5 yr spline,Year,Count,Cumulative
1994,36.78051015,2,-0.901670425,,1994,6,6
1995,1290.25493,2,0.101407364,,1995,6,12
1996,200.0951298,3,-0.77097987,,1996,1,13
1997,575.3340237,4,-0.470699471,,1997,14,27
1998,1556.944397,5,0.314822394,,1998,17,44
1999,177.2320953,9,-0.789275738,639.440181,1999,11,55
2000,666.9761127,12,-0.397363994,744.4727814,2000,6,61
2001,936.9346555,13,-0.181332926,685.586069,2001,10,71
2002,546.2009535,18,-0.494012859,743.270373,2002,7,78
2003,347.3680861,21,-0.653126463,705.27605,2003,9,87
2004,752.4255749,23,-0.328984092,571.1895797,2004,1,88
2005,873.4008962,24,-0.23217505,687.2177132,2005,5,93
2006,806.9086347,24,-0.285384681,710.5398002,2006,5,98
2007,1355.803548,28,0.153861855,780.3512822,2007,5,103
2008,1238.210486,30,0.059759424,895.6862043,2008,3,106
2009,2141.465755,35,0.782578561,1194.702482,2009,2,108
2010,2657.93433,35,1.19587631,1512.287275,2010,5,113
2011,2876.452208,36,1.370742607,1846.12916,2011,1,114
2012,2138.814893,37,0.780457241,2068.113537,2012,1,115
2013,2616.662276,38,1.162848847,2278.256658,2013,0,115
2014,3402.093622,38,1.791380809,2638.903847,2014,2,117
2015,2728.547477,38,1.252383629,2736.750801,2015,0,117
2016,2602.167397,38,1.151249495,2727.456312,2016,1,118
2017,1908.036745,39,0.595779811,2566.053735,2017,0,118
2018,1421.978332,39,0.206817428,2446.580975,2018,0,118
2019,3243.648702,39,1.664587173,2551.078713,2019,0,118
2020,3249.482786,39,1.669255829,2525.643573,2020,0,118
2021,1740.7142,39,0.461881962,2361.004694,2021,0,118
2022,957.6410045,39,-0.164762919,2086.916962,2022,0,118
2023,5601.977394,39,3.551811269,2702.573736,2023,0,118
