Site,Class,Year,Area
Sheep,Shadow,2023,185816.88
Sheep,Water,2023,916767.36
Sheep,upland forests,2023,2286460.8
Sheep,Barren,2023,3407203.44
Sheep,Forest,2023,1768408.56
Sheep,Shrubland,2023,6325887.24
Sheep,Shadow,2021,116051.04
Sheep,Water,2021,143002.08
Sheep,upland forests,2021,824283
Sheep,Barren,2021,399762.72
Sheep,Forest,2021,566071.2
Sheep,Shrubland,2021,1674427.68
Sheep,Shadow,2019,116051.04
Sheep,Water,2019,143002.08
Sheep,upland forests,2019,824283
Sheep,Barren,2019,399762.72
Sheep,Forest,2019,566071.2
Sheep,Shrubland,2019,1674427.68
Sheep,Shadow,2017,227151
Sheep,Water,2017,437912
Sheep,upland forests,2017,2333244
Sheep,Barren,2017,1602368
Sheep,Forest,2017,1343580
Sheep,Shrubland,2017,4396728
Sheep,Shadow,2015,84752
Sheep,Water,2015,171199
Sheep,upland forests,2015,727831
Sheep,Barren,2015,397806
Sheep,Forest,2015,487356
Sheep,Shrubland,2015,1858940
Sheep,Shadow,2013,32626
Sheep,Water,2013,179303
Sheep,upland forests,2013,705500
Sheep,Barren,2013,477596
Sheep,Forest,2013,498590
Sheep,Shrubland,2013,1831030
Sheep,Shadow,2010,275417
Sheep,Water,2010,159637
Sheep,upland forests,2010,596605
Sheep,Barren,2010,570108
Sheep,Forest,2010,402500
Sheep,Shrubland,2010,1720378
Childs,Shadow,2023,346120.56
Childs,Water,2023,3197730.6
Childs,upland forests,2023,823249.44
Childs,Barren,2023,3437593.92
Childs,Forest,2023,1543874.04
Childs,Shrubland,2023,22645144.8
Childs,Shadow,2021,2426238
Childs,Water,2021,4173690.96
Childs,upland forests,2021,617844.24
Childs,Barren,2021,4627978.56
Childs,Forest,2021,2577006
Childs,Shrubland,2021,17806587.84
Childs,Shadow,2019,123850.44
Childs,Water,2019,171513.36
Childs,upland forests,2019,1570371.48
Childs,Barren,2019,568579.32
Childs,Forest,2019,414806.4
Childs,Shrubland,2019,5208885.72
Childs,Shadow,2017,227193
Childs,Water,2017,437859
Childs,upland forests,2017,2332512
Childs,Barren,2017,1602575
Childs,Forest,2017,1343292
Childs,Shrubland,2017,4397045
Childs,Shadow,2015,112601
Childs,Water,2015,173904
Childs,upland forests,2015,710975
Childs,Barren,2015,363222
Childs,Forest,2015,276364
Childs,Shrubland,2015,1417820
Childs,Shadow,2013,48660
Childs,Water,2013,195902
Childs,upland forests,2013,664581
Childs,Barren,2013,230443
Childs,Forest,2013,308978
Childs,Shrubland,2013,1590761
Childs,Shadow,2010,78109
Childs,Water,2010,158522
Childs,upland forests,2010,519990
Childs,Barren,2010,480659
Childs,Forest,2010,321866
Childs,Shrubland,2010,1479841
BRAP,Shadow,2023,396059.76
BRAP,Water,2023,964584
BRAP,upland forests,2023,2121998.76
BRAP,Barren,2023,2377545.48
BRAP,Forest,2023,2370307.68
BRAP,Shrubland,2023,7652806.56
BRAP,Shadow,2021,307950.12
BRAP,Water,2021,200947.68
BRAP,upland forests,2021,596682.72
BRAP,Barren,2021,403147.44
BRAP,Forest,2021,408843
BRAP,Shrubland,2021,1955370.96
BRAP,Shadow,2019,50596.92
BRAP,Water,2019,241652.52
BRAP,upland forests,2019,515085.48
BRAP,Barren,2019,776693.16
BRAP,Forest,2019,465890.04
BRAP,Shrubland,2019,1823210.28
BRAP,Shadow,2017,397216
BRAP,Water,2017,628187
BRAP,upland forests,2017,2243577
BRAP,Barren,2017,1758620
BRAP,Forest,2017,1238736
BRAP,Shrubland,2017,4765716
BRAP,Shadow,2015,59455
BRAP,Water,2015,259173
BRAP,upland forests,2015,598858
BRAP,Barren,2015,579349
BRAP,Forest,2015,493055
BRAP,Shrubland,2015,2012420
BRAP,Shadow,2013,48504
BRAP,Water,2013,246311
BRAP,upland forests,2013,533050
BRAP,Barren,2013,600653
BRAP,Forest,2013,539092
BRAP,Shrubland,2013,2006734
BRAP,Shadow,2010,158540
BRAP,Water,2010,251756
BRAP,upland forests,2010,574397
BRAP,Barren,2010,622245
BRAP,Forest,2010,587612
BRAP,Shrubland,2010,1779484
