LB1D,LB1H,LB2D,LB2H,LB3D,LB3D,LB3P,LB4D,LB4H,LB4P,LB5D,LB5H,LB6D,LB6H,LB7D,LB7H,LB8D,LB8H,LB9D,LB9H,LB10D,LB10H,LB10P
Diameter (mm),Height (cm),D,H,D,H,Plot,D,H,Plot,D,H,D,H,D,H,D,H,D,H,D,H,Plot
4,31,4,27,5,57,1,1,10,1,5,78,2,12,2,15,5,58,2,10,,,1
3,8,2,14,4,40,,1,8,,2,10,5,65,3,37,3,25,1,8,1,8,2
2,6,,,3,52,,3,27,2,3,22,7,88,2,11,3,24,1,7,2,6,
1,6,,,2,27,,3,29,,3,25,8,113,3,21,3,19,3,25,,,3
1,5,,,2,27,,1,11,,2,21,7,69,3,23,3,26,2,12,4,29,4
1,3,,,2,14,,2,21,,1,10,3,33,2,22,4,32,1,6,3,22,
1,3,,,3,52,2,3,43,,1,10,4,48,2,17,2,12,1,4,5,30,5
,,,,2,14,,3,16,,1,10,6,82,2,21,3,22,4,38,3,22,
,,,,5,57,3,2,19,,1,12,10,135,2,12,2,20,2,16,6,20,6
,,,,3,10,,2,18,,1,12,7,84,2,20,2,12,1,6,2,14,
,,,,3,35,,1,14,3,1,12,,,2,18,3,26,2,11,5,23,
,,,,3,41,,1,10,,1,12,,,3,28,2,11,1,4,1,8,
,,,,2,13,,1,7,,1,12,,,2,20,3,34,2,14,5,35,7
,,,,3,16,4,2,12,,3,34,,,2,10,2,16,3,29,10,89,8
,,,,2,13,,2,26,,1,11,,,3,25,3,30,1,3,3,35,
,,,,4,22,,4,25,,2,20,,,,,3,13,4,42,2,19,
,,,,3,21,,2,15,,4,34,,,,,3,20,5,58,5,22,
,,,,3,25,,1,9,,3,35,,,,,4,42,2,9,3,42,
,,,,4,27,,2,11,,2,16,,,,,2,12,2,12,9,68,
,,,,3,25,,1,10,,2,17,,,,,2,13,1,4,,,9
,,,,3,25,,2,24,,1,10,,,,,3,31,3,18,4,12,10
,,,,6,50,5,1,10,,1,10,,,,,2,15,1,9,4,39,
,,,,6,55,,2,20,,1,11,,,,,4,41,2,23,2,17,
,,,,3,28,,2,11,,1,10,,,,,3,19,2,17,1,6,
,,,,2,10,,2,14,,2,21,,,,,3,18,2,27,2,15,
,,,,2,12,,1,10,,1,14,,,,,2,15,2,10,2,11,
,,,,5,51,,1,12,,1,10,,,,,2,15,1,8,4,46,11
,,,,4,46,,3,24,4,5,50,,,,,3,35,2,15,3,32,
,,,,2,6,,2,12,5,3,30,,,,,1,10,3,27,1,10,
,,,,2,11,6,1,6,,3,39,,,,,2,20,1,3,,,12
,,,,4,46,,1,9,,2,10,,,,,2,16,3,28,4,21,13
,,,,4,43,,2,17,,3,23,,,,,2,15,2,17,5,14,
,,,,4,40,,2,19,,1,10,,,,,2,11,1,8,1,5,
,,,,4,46,,2,10,,1,10,,,,,2,8,2,10,2,12,
,,,,4,45,,1,6,,1,7,,,,,3,38,1,6,5,32,
,,,,2,10,,2,9,,3,28,,,,,3,18,1,4,4,45,
,,,,2,12,,2,11,,2,19,,,,,3,24,3,27,5,59,
,,,,2,25,7,1,7,,3,21,,,,,2,17,1,5,6,18,
,,,,2,11,8,1,8,,2,14,,,,,2,23,3,16,2,13,
,,,,3,21,,2,33,,2,13,,,,,3,43,2,15,3,24,14
,,,,3,30,,2,10,,2,14,,,,,3,16,1,11,2,20,
,,,,2,13,,1,8,,3,27,,,,,3,25,1,9,4,42,
,,,,4,35,,2,11,,3,31,,,,,4,35,1,5,2,13,
,,,,2,10,,2,20,,1,8,,,,,4,43,2,20,2,15,
,,,,3,17,,2,9,,2,20,,,,,3,15,2,5,,,15
,,,,2,14,,2,16,,2,11,,,,,3,21,1,9,,,16
,,,,3,19,,3,35,,4,37,,,,,2,18,1,4,,,17
,,,,3,25,9,2,10,,1,6,,,,,3,23,4,40,6,52,18
,,,,5,35,,3,40,,2,15,,,,,,,1,14,7,60,
,,,,3,31,,2,12,,2,13,,,,,,,,,3,27,
,,,,2,15,,1,5,,2,14,,,,,,,,,6,39,19
,,,,2,16,,4,50,6,2,15,,,,,,,,,2,10,20
,,,,4,25,,2,17,7,,,,,,,,,,,3,24,
,,,,2,17,,1,9,,,,,,,,,,,,2,16,
,,,,3,20,,1,10,,,,,,,,,,,,3,36,
,,,,6,52,10,2,11,,,,,,,,,,,,3,22,
,,,,4,27,,1,13,,,,,,,,,,,,2,11,21
,,,,2,11,,2,13,,,,,,,,,,,,3,23,22
,,,,2,15,,2,11,,,,,,,,,,,,,,23
,,,,3,36,,2,20,,,,,,,,,,,,,,
,,,,3,12,,,,8,,,,,,,,,,,,,
,,,,2,17,,,,9,,,,,,,,,,,,,
,,,,3,22,,2,12,10,,,,,,,,,,,,,
,,,,1,5,,2,23,,,,,,,,,,,,,,
,,,,2,20,11,2,20,,,,,,,,,,,,,,
,,,,2,20,,2,14,,,,,,,,,,,,,,
,,,,3,26,,2,16,,,,,,,,,,,,,,
,,,,1,4,12,2,13,,,,,,,,,,,,,,
,,,,1,5,,3,27,,,,,,,,,,,,,,
,,,,2,13,,2,11,,,,,,,,,,,,,,
,,,,2,20,,2,10,,,,,,,,,,,,,,
,,,,2,16,,2,31,,,,,,,,,,,,,,
,,,,2,26,,1,10,,,,,,,,,,,,,,
,,,,2,17,,2,9,,,,,,,,,,,,,,
,,,,3,31,,3,24,,,,,,,,,,,,,,
,,,,2,15,,1,7,,,,,,,,,,,,,,
,,,,1,4,,2,15,,,,,,,,,,,,,,
,,,,1,10,,2,19,,,,,,,,,,,,,,
,,,,1,13,,6,60,11,,,,,,,,,,,,,
