"","C17","C19","C23-1","C26","C28","C3","C33","C36","C42","C51","C65","C67","C68","C91ref","C96","LB-18","LB19","LB21","LB3","LB-32","LB33","LB34","LB35","LB-4","S11","S25","S27","S29","S30","S46","S8","UB46","UB-49","UB69"
"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217.98321958541,NA,NA,NA,NA,NA
"1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092.64058421102,NA,NA,NA,NA,NA
"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2130.83422614267,NA,NA,NA,NA,NA
"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3157.02541334129,NA,NA,NA,NA,NA
"1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942.186256278685,NA,NA,NA,NA,NA
"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81458391671346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1174.61793123232,NA,NA,NA,NA,NA
"1994",NA,NA,NA,14.3872377163798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41334041812531,NA,NA,10.7521008569111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1047.05764560376,NA,NA,59.1737825859559,NA,NA
"1995",NA,NA,NA,171.394299605572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1392214911248,NA,NA,499.95305489228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395.88250093951,NA,NA,2409.11556091986,NA,NA
"1996",NA,NA,NA,377.481206884735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2623994058662,NA,NA,1148.30834939557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221.39938743693,NA,NA,3918.90812740809,NA,NA
"1997",NA,NA,NA,838.058481934717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.564496385692,NA,NA,1762.18089461453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2996.99268356742,NA,NA,6545.18628050734,NA,NA
