Date,Value,Anomaly,Month,Year
199301,5.72,5.6,1,1993
199302,7.49,7.28,2,1993
199303,6.66,6.45,3,1993
199304,5.71,5.44,4,1993
199305,5.84,5.55,5,1993
199306,5.54,5.18,6,1993
199307,-1.01,-1.28,7,1993
199308,-0.69,-0.83,8,1993
199309,-1.33,-1.53,9,1993
199310,-0.79,-1.01,10,1993
199311,-0.23,-0.32,11,1993
199312,-0.69,-0.71,12,1993
199401,-1.34,-1.46,1,1994
199402,-1.29,-1.5,2,1994
199403,-1.35,-1.56,3,1994
199404,-1.24,-1.51,4,1994
199405,-1.53,-1.82,5,1994
199406,-2.17,-2.53,6,1994
199407,-2.76,-3.03,7,1994
199408,-3.17,-3.31,8,1994
199409,0.18,-0.02,9,1994
199410,0.05,-0.17,10,1994
199411,0.02,-0.07,11,1994
199412,0.4,0.38,12,1994
199501,1.49,1.37,1,1995
199502,1.83,1.62,2,1995
199503,1.98,1.77,3,1995
199504,2.12,1.85,4,1995
199505,2.49,2.2,5,1995
199506,3.05,2.69,6,1995
199507,-0.58,-0.85,7,1995
199508,-0.73,-0.87,8,1995
199509,-0.31,-0.51,9,1995
199510,-0.98,-1.2,10,1995
199511,-1.47,-1.56,11,1995
199512,-2.06,-2.08,12,1995
199601,-2.73,-2.85,1,1996
199602,-3,-3.21,2,1996
199603,-3.27,-3.48,3,1996
199604,-4.02,-4.29,4,1996
199605,-4.73,-5.02,5,1996
199606,-5.29,-5.65,6,1996
199607,-5.06,-5.33,7,1996
199608,-5.36,-5.5,8,1996
199609,-4.48,-4.68,9,1996
199610,-4.47,-4.69,10,1996
199611,-4.27,-4.36,11,1996
199612,-4.53,-4.55,12,1996
199701,-3.58,-3.7,1,1997
199702,-3.32,-3.53,2,1997
199703,-3.82,-4.03,3,1997
199704,-3.28,-3.55,4,1997
199705,-3.28,-3.57,5,1997
199706,-3.41,-3.77,6,1997
199707,-4.14,-4.41,7,1997
199708,-3.8,-3.94,8,1997
199709,1.27,1.07,9,1997
199710,0.75,0.53,10,1997
199711,0.27,0.18,11,1997
199712,0.54,0.52,12,1997
199801,0.31,0.19,1,1998
199802,1.39,1.18,2,1998
199803,1.85,1.64,3,1998
199804,2.16,1.89,4,1998
199805,2.67,2.38,5,1998
199806,3.28,2.92,6,1998
199807,4.05,3.78,7,1998
199808,3.88,3.74,8,1998
199809,3.84,3.64,9,1998
199810,3.65,3.43,10,1998
199811,3.33,3.24,11,1998
199812,-0.57,-0.59,12,1998
199901,-1.4,-1.52,1,1999
199902,-1.96,-2.17,2,1999
199903,-2.49,-2.7,3,1999
199904,-1.91,-2.18,4,1999
199905,-2.38,-2.67,5,1999
199906,-2.67,-3.03,6,1999
199907,1.06,0.79,7,1999
199908,0.52,0.38,8,1999
199909,1.85,1.65,9,1999
199910,-0.76,-0.98,10,1999
199911,-1.48,-1.57,11,1999
199912,-2.09,-2.11,12,1999
200001,-2.77,-2.89,1,2000
200002,-2.98,-3.19,2,2000
200003,-2.37,-2.58,3,2000
200004,-2.79,-3.06,4,2000
200005,-3.54,-3.83,5,2000
200006,-3.54,-3.9,6,2000
200007,-4.51,-4.78,7,2000
200008,-3.67,-3.81,8,2000
200009,-4.21,-4.41,9,2000
200010,2.3,2.08,10,2000
200011,2.09,2,11,2000
200012,1.3,1.28,12,2000
200101,1.54,1.42,1,2001
200102,1.47,1.26,2,2001
200103,1.35,1.14,3,2001
200104,1.48,1.21,4,2001
200105,1.7,1.41,5,2001
200106,0.03,-0.33,6,2001
200107,-0.57,-0.84,7,2001
200108,-0.6,-0.74,8,2001
200109,-1.32,-1.52,9,2001
200110,-1.43,-1.65,10,2001
200111,-1.69,-1.78,11,2001
200112,-1.83,-1.85,12,2001
200201,-2.43,-2.55,1,2002
200202,-3.18,-3.39,2,2002
200203,-3.6,-3.81,3,2002
200204,-4.18,-4.45,4,2002
200205,-4.78,-5.07,5,2002
200206,-5.4,-5.76,6,2002
200207,-5.73,-6,7,2002
200208,-6.61,-6.75,8,2002
200209,-5.32,-5.52,9,2002
200210,-4.77,-4.99,10,2002
200211,-4.52,-4.61,11,2002
200212,-4.54,-4.56,12,2002
200301,-4.95,-5.07,1,2003
200302,-3.45,-3.66,2,2003
200303,-3.01,-3.22,3,2003
200304,-2.78,-3.05,4,2003
200305,-2.67,-2.96,5,2003
200306,-2.77,-3.13,6,2003
200307,-3.2,-3.47,7,2003
200308,-2.7,-2.84,8,2003
200309,-2.82,-3.02,9,2003
200310,-3.35,-3.57,10,2003
200311,-2.68,-2.77,11,2003
200312,-2.79,-2.81,12,2003
200401,-3.1,-3.22,1,2004
200402,-2.85,-3.06,2,2004
200403,-3.34,-3.55,3,2004
200404,-2.64,-2.91,4,2004
200405,-3.14,-3.43,5,2004
200406,-3.62,-3.98,6,2004
200407,-3.88,-4.15,7,2004
200408,-4.15,-4.29,8,2004
200409,0.53,0.33,9,2004
200410,2.2,1.98,10,2004
200411,3.27,3.18,11,2004
200412,3.71,3.69,12,2004
200501,5.02,4.9,1,2005
200502,6.33,6.12,2,2005
200503,5.64,5.43,3,2005
200504,5.36,5.09,4,2005
200505,5.34,5.05,5,2005
200506,5.17,4.81,6,2005
200507,-0.22,-0.49,7,2005
200508,-0.08,-0.22,8,2005
200509,-0.84,-1.04,9,2005
200510,-0.63,-0.85,10,2005
200511,-1.19,-1.28,11,2005
200512,-1.88,-1.9,12,2005
200601,-2.63,-2.75,1,2006
200602,-3.38,-3.59,2,2006
200603,-3.08,-3.29,3,2006
200604,-3.21,-3.48,4,2006
200605,-4.03,-4.32,5,2006
200606,-4.48,-4.84,6,2006
200607,-4.24,-4.51,7,2006
200608,-4.16,-4.3,8,2006
200609,-3.37,-3.57,9,2006
200610,-2.88,-3.1,10,2006
200611,-3.29,-3.38,11,2006
200612,-3.56,-3.58,12,2006
200701,-3.68,-3.8,1,2007
200702,-3.89,-4.1,2,2007
200703,-3.97,-4.18,3,2007
200704,-4.54,-4.81,4,2007
200705,-5.18,-5.47,5,2007
200706,-5.72,-6.08,6,2007
200707,-4.68,-4.95,7,2007
200708,-5.03,-5.17,8,2007
200709,-4.69,-4.89,9,2007
200710,-4.79,-5.01,10,2007
200711,-4.73,-4.82,11,2007
200712,-3.54,-3.56,12,2007
200801,-2.17,-2.29,1,2008
200802,-1.79,-2,2,2008
200803,-2.21,-2.42,3,2008
200804,-2.3,-2.57,4,2008
200805,-1.58,-1.87,5,2008
200806,-1.2,-1.56,6,2008
200807,-0.93,-1.2,7,2008
200808,-0.87,-1.01,8,2008
200809,-1.31,-1.51,9,2008
200810,-1.88,-2.1,10,2008
200811,-1.52,-1.61,11,2008
200812,-0.72,-0.74,12,2008
200901,-1.17,-1.29,1,2009
