,Childs,Childs
,std,samp.depth
1993,0.469244212,1
1994,0.237219728,3
1995,0.708009744,3
1996,0.757802069,3
1997,0.736021554,3
1998,1.187657569,4
1999,0.991477749,6
2000,1.225105208,8
2001,1.355398661,12
2002,1.129584576,14
2003,0.813255714,16
2004,1.000374632,19
2005,1.059160193,20
2006,1.297719563,20
2007,1.065566613,21
2008,0.979660845,23
2009,1.034853392,24
2010,1.25395248,24
2011,0.964699795,25
2012,1.011713475,27
2013,0.998225886,28
2014,1.073448381,28
2015,0.931611515,29
2016,0.934326276,29
2017,0.641766945,29
2018,0.776143998,29
2019,1.062711442,29
2020,0.747485346,29
2021,0.835174873,29
2022,0.677162234,29
2023,2.098085989,29
