LB1D,LB1H,LB2D,LB2H,LB3D,LB3D,LB3P,LB4D,LB4H,LB4P,LB5D,LB5H,LB6D,LB6H,LB7D,LB7H,LB8D,LB8H,LB9D,LB9H,LB10D,LB10H,LB10P
Diameter (mm),Height (cm),D,H,D,H,Plot,D,H,Plot,D,H,D,H,D,H,D,H,D,H,D,H,Plot
,,3,18,14,128,1,3,16,1,14,146,8,91,7,50,7,61,4,51,2,17,1
,,4,34,7,111,,2,12,,7,85,8,77,,,2,10,3,53,2,11,
,,,,7,100,2,4,33,,8,81,11,130,,,,,5,32,4,58,2
,,,,6,104,,9,101,2,4,34,,,,,,,1,8,5,117,3
,,,,4,71,,7,82,,3,16,,,,,,,1,6,3,23,
,,,,4,76,3,3,19,,3,38,,,,,,,4,60,17,124,4
,,,,2,26,,,,3,4,23,,,,,,,1,11,,,5
,,,,4,60,,1,13,4,5,71,,,,,,,2,24,6,72,6
,,,,4,58,,1,10,,4,11,,,,,,,5,53,,,7
,,,,8,75,,1,6,,3,25,,,,,,,3,53,,,8
,,,,2,30,,1,8,,3,20,,,,,,,2,12,1,12,9
,,,,,,4,9,69,5,4,17,,,,,,,5,73,1,12,
,,,,7,81,5,1,7,6,11,87,,,,,,,3,29,8,98,
,,,,4,42,,1,11,,5,49,,,,,,,3,22,2,16,10
,,,,9,76,,1,9,,4,84,,,,,,,2,12,5,62,11
,,,,5,40,,1,10,,5,39,,,,,,,1,14,5,53,
,,,,6,78,,1,11,,2,16,,,,,,,1,9,2,18,
,,,,3,32,,1,11,,7,83,,,,,,,2,14,5,51,
,,,,6,80,,1,11,,5,61,,,,,,,3,20,,,12
,,,,3,56,,1,11,,8,115,,,,,,,2,31,7,88,13
,,,,,,6,1,9,,5,36,,,,,,,3,60,8,68,
,,,,,,7,1,10,,4,34,,,,,,,3,48,13,90,14
,,,,,,8,1,9,,,,,,,,,,5,118,5,54,
,,,,3,26,9,1,10,,,,,,,,,,5,117,9,87,
,,,,1,10,,1,9,,,,,,,,,,2,16,5,54,15
,,,,2,15,,1,11,,,,,,,,,,1,8,9,87,
,,,,4,35,,1,10,,,,,,,,,,1,5,7,102,16
,,,,3,27,,2,10,7,,,,,,,,,1,7,,,17
,,,,1,9,,5,69,,,,,,,,,,1,7,4,57,18
,,,,3,28,,3,21,,,,,,,,,,1,6,2,24,
,,,,1,16,,4,33,,,,,,,,,,1,6,10,100,19
,,,,2,29,,3,31,,,,,,,,,,1,5,7,85,
,,,,3,29,,4,59,,,,,,,,,,1,5,7,65,20
,,,,2,20,,3,28,,,,,,,,,,2,20,7,63,21
,,,,4,25,,5,67,,,,,,,,,,2,20,1,13,
,,,,8,85,10,5,60,,,,,,,,,,4,78,1,10,
,,,,7,77,,4,33,,,,,,,,,,4,70,,,22
,,,,,,11,,,8,,,,,,,,,1,5,1,14,23
,,,,,,12,,,9,,,,,,,,,1,5,1,11,24
,,,,3,36,13,8,139,10,,,,,,,,,1,5,,,25
,,,,4,36,,10,126,,,,,,,,,,1,5,,,
,,,,4,26,,2,19,,,,,,,,,,1,5,,,
,,,,4,40,,3,30,,,,,,,,,,1,5,,,
,,,,4,42,,3,23,,,,,,,,,,1,5,,,
,,,,4,35,,2,26,,,,,,,,,,1,5,,,
,,,,2,19,,2,19,11,,,,,,,,,1,5,,,
,,,,4,38,,1,13,,,,,,,,,,3,48,,,
,,,,5,29,,1,10,,,,,,,,,,3,31,,,
,,,,4,51,,2,19,,,,,,,,,,2,20,,,
,,,,4,39,,10,126,,,,,,,,,,4,53,,,
,,,,8,195,14,2,17,,,,,,,,,,1,5,,,
,,,,,,15,1,9,,,,,,,,,,1,5,,,
,,,,14,103,16,2,20,,,,,,,,,,1,5,,,
,,,,,,17,2,19,,,,,,,,,,1,5,,,
,,,,,,18,1,11,,,,,,,,,,1,7,,,
,,,,,,19,1,6,,,,,,,,,,1,7,,,
,,,,,,20,2,21,,,,,,,,,,1,7,,,
,,,,,,21,3,30,,,,,,,,,,1,7,,,
,,,,,,,1,19,,,,,,,,,,1,7,,,
,,,,,,,1,7,,,,,,,,,,3,22,,,
,,,,,,,3,42,,,,,,,,,,2,16,,,
,,,,,,,3,23,,,,,,,,,,2,16,,,
,,,,,,,1,9,,,,,,,,,,6,60,,,
,,,,,,,2,29,,,,,,,,,,1,7,,,
,,,,,,,1,8,,,,,,,,,,1,7,,,
,,,,,,,2,26,,,,,,,,,,1,7,,,
,,,,,,,1,11,,,,,,,,,,1,7,,,
,,,,,,,2,19,,,,,,,,,,1,7,,,
,,,,,,,1,12,,,,,,,,,,9,140,,,
,,,,,,,,,12,,,,,,,,,2,19,,,
,,,,,,,1,8,13,,,,,,,,,3,40,,,
,,,,,,,1,14,,,,,,,,,,4,98,,,
,,,,,,,1,15,,,,,,,,,,2,14,,,
,,,,,,,1,11,,,,,,,,,,3,22,,,
,,,,,,,1,8,,,,,,,,,,3,55,,,
,,,,,,,1,15,,,,,,,,,,4,54,,,
