Plot,%Change Density,%ChangeHeight,%ChangeDiameter,%ChangeHDR,Light,DistanceGW,Herbaceaus,MeanHeight,MeanDiameter,MeanHDR
C1,-68.68686869,268.6557256,242.2816722,7.70536537,2484.707297,0.3,5,56.40493852,6.071127107,92.90686478
C2,-75,109.7041384,130.8204539,-9.148372735,388.0690545,3.1,3,87.95383253,12.55707236,70.0432633
C3,-67.30769231,111.095495,184.5803217,-25.82217432,3969.014008,0.5,6,127.5663524,13.35230531,95.53882227
C4,-94.91525424,229.1540547,176.0210988,19.24959944,2113.858506,0.25,6,54.64621401,5.241482788,104.2571658
C5,-51.1627907,96.95252932,111.6916766,-6.962553974,5923.199716,1,2,90.16360153,7.197269038,125.2747411
C6,-36.58536585,113.5514537,148.395939,-14.02779988,4105.599046,0.5,3,77.34638109,8.923432602,86.67783412
C7,-97.5,130.7177026,175.101213,-16.13352043,412.6600749,1,2,15.29705854,3,50.99019514
C8,6.451612903,54.32983755,63.69628314,-5.721843776,3896.703244,0.2,4,48.40997294,4.277018081,113.1862714
C9,-62.65060241,152.6176079,101.5941059,25.31001681,3186.630816,0.2,4,62.24527715,4.506531463,138.1223623
C10,-56.63716814,66.15735471,88.21450897,-11.71915725,3186.500617,0.5,6,47.37058877,4.688184209,101.0425074
