LB1D,LB1H,LB2D,LB2H,LB3D,LB3D,LB3P,LB4D,LB4H,LB4P,LB5D,LB5H,LB6D,LB6H,LB7D,LB7H,LB8D,LB8H,LB9D,LB9H,LB10D,LB10H,LB10P
Diameter (mm),Height (cm),D,H,D,H,Plot,D,H,Plot,D,H,D,H,D,H,D,H,D,H,D,H,Plot
4,42,2,14,,,1,1,12,1,9,94,9,121,3,20,4,42,2,13,2,18,1
1,8,2,26,4,36,2,3,25,,3,24,7,91,3,30,2,18,4,28,,,2
,,,,4,35,,2,17,,4,34,11,148,2,13,1,4,2,13,1,7,3
,,,,1,10,,1,11,,1,8,7,98,2,11,2,15,4,49,5,57,4
,,,,3,31,,3,26,,3,20,5,40,2,20,2,14,5,57,,,5
,,,,3,24,,2,15,,2,4,3,33,2,18,3,20,3,25,,,6
,,,,2,13,,4,23,,2,9,7,78,3,22,2,21,3,34,5,49,7
,,,,3,35,,4,55,,3,13,7,79,3,28,3,18,3,32,3,24,
,,,,3,26,,,,2,3,27,8,88,,,1,7,4,40,6,47,8
,,,,3,43,3,,,3,3,24,,,,,3,18,3,33,5,37,
,,,,5,73,,4,31,4,3,27,,,,,3,18,3,29,12,108,9
,,,,2,48,,2,14,,4,24,,,,,4,28,2,14,7,57,10
,,,,3,26,,3,21,,2,16,,,,,3,16,1,11,3,31,11
,,,,,,4,2,13,,2,16,,,,,4,24,3,29,3,24,
,,,,4,49,5,,,5,7,61,,,,,4,41,7,72,13,75,12
,,,,3,25,,2,29,6,4,42,,,,,1,8,1,10,4,51,
,,,,3,44,,3,27,,3,14,,,,,4,22,2,30,3,27,13
,,,,5,35,,2,23,,1,5,,,,,6,55,2,16,3,39,14
,,,,5,42,,2,14,,3,21,,,,,2,14,2,17,1,9,
,,,,3,23,,5,53,,1,5,,,,,3,30,2,33,,,15
,,,,,,6,5,59,,1,6,,,,,3,21,4,31,,,16
,,,,,,7,2,10,,4,42,,,,,2,14,5,42,,,17
,,,,2,19,8,2,23,,4,36,,,,,5,46,1,3,4,25,18
,,,,,,9,2,15,,4,7,,,,,4,35,3,30,2,21,19
,,,,3,26,10,3,30,,1,9,,,,,4,38,3,16,1,18,
,,,,3,14,,3,28,,2,15,,,,,3,21,2,19,2,24,
,,,,3,21,,2,23,,1,10,,,,,2,16,3,33,2,16,
,,,,4,22,,4,22,,4,42,,,,,5,42,2,12,,,
,,,,3,24,,3,35,,3,36,,,,,3,11,2,21,,,
,,,,2,10,,2,23,,1,7,,,,,,,2,29,,,
,,,,,,11,3,31,,2,9,,,,,,,1,4,,,
,,,,2,16,12,3,34,,2,15,,,,,,,3,19,,,
,,,,2,18,,,,7,1,10,,,,,,,1,6,,,
,,,,3,31,,3,17,8,4,46,,,,,,,3,30,,,
,,,,4,39,,1,9,,3,28,,,,,,,1,12,,,
,,,,3,29,,5,35,,1,6,,,,,,,3,26,,,
,,,,1,9,,3,19,,2,11,,,,,,,2,30,,,
,,,,4,28,,4,32,,2,12,,,,,,,2,15,,,
,,,,1,8,,3,23,,1,7,,,,,,,2,19,,,
,,,,4,35,,,,9,3,21,,,,,,,1,5,,,
,,,,5,36,,4,37,10,2,9,,,,,,,2,13,,,
,,,,,,13,4,38,,1,5,,,,,,,3,31,,,
,,,,,,14,3,48,,2,14,,,,,,,3,32,,,
,,,,3,36,15,7,70,,4,30,,,,,,,3,24,,,
,,,,2,25,,4,42,,1,6,,,,,,,2,28,,,
,,,,4,49,16,4,58,,,,,,,,,,3,36,,,
,,,,5,53,,,,11,,,,,,,,,2,20,,,
,,,,4,41,,5,41,12,,,,,,,,,3,35,,,
,,,,3,19,,4,36,,,,,,,,,,4,20,,,
,,,,3,17,,,,13,,,,,,,,,2,13,,,
,,,,2,13,,,,14,,,,,,,,,2,23,,,
,,,,3,43,,4,27,15,,,,,,,,,5,49,,,
,,,,5,53,,2,10,,,,,,,,,,3,28,,,
,,,,,,,,,,,,,,,,,,3,42,,,
,,,,,,,,,,,,,,,,,,3,21,,,
,,,,,,,,,,,,,,,,,,1,10,,,
,,,,,,,,,,,,,,,,,,3,37,,,
