Sample,LB1,Date,2/5/2025,,,,Sample,LB2,Date,2/5/2025,,,,Sample,LB3,Date,2/5/2025,,,,Sample,LB4,Date,2/5/2025,,,,Sample,LB5,Date,2/5/2025,,,,Sample,LB6,Date,2/6/2025,,,,Sample,LB7,Date,,,,,Sample,LB8,Date,,,,,Sample,LB9,Date,,,,,Sample,LB10,Date,10-Feb,,,,Sample,C1,Date,,,,,Sample,C2,Date,,,,,Sample,C3,Date,,,,,Sample,C4,Date,,,,,Sample,C5,Date,,,,,Sample,C6,Date,11-Feb,,,,Sample,C7,Date,11-Feb,,,,Sample,C8,Date,11-Feb,,,,Sample,C9,Date,11-Feb,,,,Sample,C10,Date,11-Feb,,,
Weight in bag,0.5285,,,,,,Weight in bag,0.5035,,,,,,Weight in bag,0.384,,,,,,Weight in bag,0.373,,,,,,Weight in bag,,0.3835,,,,,Weight in bag,,0.3195,,,,,Weight in bag,,0.2545,,,,,Weight in bag,,0.41,,,,,Weight in bag,,0.295,,,,,Weight in bag,,0.3375,,,,,Weight in bag,,0.936,,,,,Weight in bag,,0.4555,,,,,Weight in bag,,0.717,,,,,Weight in bag,,0.4555,,,,,Weight in bag,,0.911,,,,,Weight in bag,,1.254,,,,,Weight in bag,,0.9195,,,,,Weight in bag,,,,,,,Weight in bag,,0.3305,,,,,Weight in bag,,0.814,,,,
Bag weight,0.0125,,,,,,Bag weight,0.012,,,,,,Bag weight,0.012,,,,,,Bag weight,0.012,,,,,,Bag weight,,0.012,,,,,Bag weight,,0.0125,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.677,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,,Bag weight,,0.012,,,,
Sample Weight,0.516,,,,,,,0.4915,,,,,,,0.372,,,,,,,0.361,,,,,,,,0.3715,,,,,,,0.307,,,,,,,0.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %,Sieve #,Size,Weight of Seive,Weight after seiving,Wt of soil retained,% of soil,Cumulative %
above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,,above 4,gravel,,,,,
4,4760,0.5995,0.747,0.1475,28.58527132,28.58527,4,4760,0.6,0.784,0.184,37.43641913,37.43642,4,4760,0.599,0.6485,0.0495,13.30645161,13.30645,4,4760,0.599,0.668,0.069,19.11357341,19.11357,4,4760,0.5985,0.7505,0.152,40.91520861,40.91521,4,4760,0.599,0.6,0.001,0.325732899,0.32573,4,4760,0.5995,0.6035,0.004,1.639344262,1.639,4,4760,0.5995,0.608,0.0085,2.132998745,2.132999,4,4760,0.5995,0.6,0.0005,0.17921147,0.179211,4,4760,0.5995,0.7385,0.139,42.63803681,42.63,4,4760,0.5995,0.837,0.2375,#VALUE!,33.71185,4,4760,0.601,0.731,0.13,#VALUE!,0.179211,4,4760,0.599,0.85,0.251,0.249657754,35.33807,4,4760,0.6,0.905,0.305,#DIV/0!,45.8302,4,4760,0.6005,1.285,0.6845,#DIV/0!,76.09783,4,4760,0.6,1.038,0.438,142.6710098,35.29412,4,4760,0.6005,0.9025,0.302,123.7704918,76.09783,4,4760,0.6,0.679,0.079,19.82434128,76.09783,4,4760,0.6,0.639,0.039,13.97849462,76.09783,4,4760,0.6,0.969,0.369,113.190184,76.09783
18,1,0.4615,0.726,0.2645,51.25968992,79.84496124,18,1,0.461,0.6365,0.1755,35.70701933,73.14343845,18,1,0.461,0.555,0.094,25.2688172,38.57526882,18,1,0.461,0.5845,0.1235,34.21052632,53.32409972,18,1,0.4625,0.5785,0.116,31.22476447,72.13997308,18,1,0.462,0.4625,0.0005,0.16286645,0.488599349,18,1,0.4615,0.4685,0.007,2.868852459,4.508196721,18,1,0.4615,0.49,0.0285,7.151819322,9.284818068,18,1,0.4615,0.476,0.0145,5.197132616,5.376344086,18,1,0.4615,0.5975,0.136,41.71779141,84.35582822,18,1,0.601,0.8095,0.2085,#VALUE!,#VALUE!,18,1,0.462,0.6955,0.2335,#VALUE!,#VALUE!,18,1,0.462,0.762,0.3,0.298395722,0.548053476,18,1,0.4625,0.701,0.2385,#DIV/0!,#DIV/0!,18,1,0.4625,0.489,0.0265,#DIV/0!,#DIV/0!,18,1,0.4625,1.0275,0.565,184.0390879,326.7100977,18,1,0.4635,0.7455,0.282,115.5737705,239.3442623,18,1,0.464,0.658,0.194,48.6825596,68.50690088,18,1,0.464,0.55,0.086,30.82437276,44.80286738,18,1,0.4635,0.6575,0.194,59.50920245,172.6993865
25,0.71,0.426,0.4555,0.0295,5.717054264,85.5620155,25,0.71,0.4255,0.471,0.0455,9.257375381,82.40081384,25,0.71,0.425,0.4575,0.0325,8.73655914,47.31182796,25,0.71,0.425,0.4745,0.0495,13.71191136,67.03601108,25,0.71,0.426,0.447,0.021,5.652759085,77.79273217,25,0.71,0.425,0.432,0.007,2.280130293,2.768729642,25,0.71,0.425,0.427,0.002,0.819672131,5.327868852,25,0.71,0.425,0.443,0.018,4.516938519,13.80175659,25,0.71,0.425,0.439,0.014,5.017921147,10.39426523,25,0.71,0.425,0.4465,0.0215,6.595092025,90.95092025,25,0.71,0.462,0.5135,0.0515,#VALUE!,#VALUE!,25,0.71,0.425,0.459,0.034,#VALUE!,#VALUE!,25,0.71,0.4255,0.45,0.0245,0.024368984,0.57242246,25,0.71,0.4255,0.475,0.0495,#DIV/0!,#DIV/0!,25,0.71,0.4255,0.45,0.0245,#DIV/0!,#DIV/0!,25,0.71,0.4255,0.5115,0.086,28.01302932,354.723127,25,0.71,0.426,0.5295,0.1035,42.41803279,281.7622951,25,0.71,0.4255,0.6655,0.24,60.22584693,128.7327478,25,0.71,0.426,0.4575,0.0315,11.29032258,56.09318996,25,0.71,0.4255,0.4485,0.023,7.055214724,179.7546012
60,0.25,0.382,0.426,0.044,8.527131783,94.08914729,60,0.25,0.381,0.4455,0.0645,13.12309257,95.52390641,60,0.25,0.381,0.474,0.093,25,72.31182796,60,0.25,0.381,0.4795,0.0985,27.28531856,94.32132964,60,0.25,0.381,0.431,0.05,13.4589502,91.25168237,60,0.25,0.381,0.3995,0.0185,6.026058632,8.794788274,60,0.25,0.3805,0.391,0.0105,4.303278689,9.631147541,60,0.25,0.381,0.445,0.064,16.06022585,29.86198243,60,0.25,0.381,0.44,0.059,21.14695341,31.54121864,60,0.25,0.381,0.4035,0.0225,6.901840491,97.85276074,60,0.25,0.425,0.55,0.125,#VALUE!,#VALUE!,60,0.25,0.381,0.4065,0.0255,#VALUE!,#VALUE!,60,0.25,0.3805,0.437,0.0565,0.056197861,0.628620321,60,0.25,0.381,0.437,0.056,#DIV/0!,#DIV/0!,60,0.25,0.381,0.5005,0.1195,#DIV/0!,#DIV/0!,60,0.25,0.381,0.489,0.108,35.17915309,389.9022801,60,0.25,0.381,0.546,0.165,67.62295082,349.3852459,60,0.25,0.381,0.6855,0.3045,76.41154329,205.1442911,60,0.25,0.381,0.49,0.109,39.06810036,95.16129032,60,0.25,0.381,0.4155,0.0345,10.58282209,190.3374233
170,0.09,0.36,0.369,0.009,1.744186047,95.83333333,170,0.09,0.36,0.3715,0.0115,2.339776195,97.8636826,170,0.09,0.359,0.402,0.043,11.55913978,83.87096774,170,0.09,0.359,0.371,0.012,3.324099723,97.64542936,170,0.09,0.359,0.3785,0.0195,5.248990579,96.50067295,170,0.09,0.359,0.414,0.055,17.91530945,26.71009772,170,0.09,0.359,0.443,0.084,34.42622951,44.05737705,170,0.09,0.359,0.508,0.149,37.3902133,67.25219573,170,0.09,0.359,0.423,0.064,22.9390681,54.48028674,170,0.09,0.359,0.364,0.005,1.533742331,99.38650307,170,0.09,0.381,0.4075,0.0265,#VALUE!,#VALUE!,170,0.09,0.359,0.3675,0.0085,#VALUE!,#VALUE!,170,0.09,0.359,0.3755,0.0165,0.016411765,0.645032086,170,0.09,0.359,0.3665,0.0075,#DIV/0!,#DIV/0!,170,0.09,0.359,0.387,0.028,#DIV/0!,#DIV/0!,170,0.09,0.359,0.381,0.022,7.166123779,397.0684039,170,0.09,0.359,0.3885,0.0295,12.09016393,361.4754098,170,0.09,0.359,0.4105,0.0515,12.92346299,218.0677541,170,0.09,0.359,0.3875,0.0285,10.21505376,105.3763441,170,0.09,0.359,0.373,0.014,4.294478528,194.6319018
