Date,Value,Year
199301,33.3,1993
199302,33.6,1993
199303,37.6,1993
199304,42.5,1993
199305,50,1993
199306,55.6,1993
199307,60.9,1993
199308,62,1993
199309,54.1,1993
199310,46.2,1993
199311,33.2,1993
199312,28,1993
199401,29.3,1994
199402,29.7,1994
199403,37.6,1994
199404,41.5,1994
199405,47.9,1994
199406,59.9,1994
199407,63.7,1994
199408,65.5,1994
199409,57.9,1994
199410,43.2,1994
199411,30.8,1994
199412,31.7,1994
199501,31.8,1995
199502,37.4,1995
199503,37,1995
199504,39.4,1995
199505,45.2,1995
199506,54,1995
199507,62.4,1995
199508,65.5,1995
199509,58.6,1995
199510,45.4,1995
199511,40,1995
199512,30.9,1995
199601,29.1,1996
199602,36.9,1996
199603,36.5,1996
199604,42.7,1996
199605,50.6,1996
199606,58.4,1996
199607,66.4,1996
199608,64,1996
199609,55.5,1996
199610,44.9,1996
199611,36.4,1996
199612,31.2,1996
199701,30.9,1997
199702,30.7,1997
199703,37.5,1997
199704,40.7,1997
199705,52.9,1997
199706,54.6,1997
199707,62.1,1997
199708,63.8,1997
199709,60.3,1997
199710,43.7,1997
199711,36.1,1997
199712,27.9,1997
199801,31.1,1998
199802,30.5,1998
199803,34.6,1998
199804,36.5,1998
199805,44.2,1998
199806,51.7,1998
199807,64.5,1998
199808,64.3,1998
199809,56.7,1998
199810,43.7,1998
199811,35.1,1998
199812,29.8,1998
199901,31.2,1999
199902,32.6,1999
199903,35.8,1999
199904,36.7,1999
199905,47.4,1999
199906,56.4,1999
199907,64,1999
199908,62.2,1999
199909,56.5,1999
199910,46.2,1999
199911,38.1,1999
199912,28.5,1999
200001,31.6,2000
200002,34,2000
200003,36,2000
200004,43.6,2000
200005,52.3,2000
200006,60,2000
200007,64.4,2000
200008,64.2,2000
200009,57.6,2000
200010,46,2000
200011,30.5,2000
200012,30.7,2000
200101,28.7,2001
200102,30,2001
200103,37.2,2001
200104,40.4,2001
200105,52.4,2001
200106,58.5,2001
200107,63.8,2001
200108,63.2,2001
200109,57.9,2001
200110,48.8,2001
200111,38.8,2001
200112,27.4,2001
200201,28.8,2002
200202,30.7,2002
200203,33.3,2002
200204,43.8,2002
200205,47.6,2002
200206,58.6,2002
200207,66.3,2002
200208,63.4,2002
200209,57.7,2002
200210,44.7,2002
200211,37.2,2002
200212,29.2,2002
200301,35,2003
200302,33.4,2003
200303,36.3,2003
200304,38.1,2003
200305,50.3,2003
200306,57.5,2003
200307,67.4,2003
200308,64.9,2003
200309,58.6,2003
200310,51.5,2003
200311,35.2,2003
200312,30.1,2003
200401,30.8,2004
200402,29.4,2004
200403,42.1,2004
200404,41.7,2004
200405,49.6,2004
200406,56.4,2004
200407,62.7,2004
200408,61.8,2004
200409,55.5,2004
200410,45.9,2004
200411,35,2004
200412,31.4,2004
200501,34.3,2005
200502,35.7,2005
200503,36.6,2005
200504,39.7,2005
200505,49.9,2005
200506,55.6,2005
200507,64.6,2005
200508,62.4,2005
200509,55.9,2005
200510,47.8,2005
200511,37.7,2005
200512,30.4,2005
200601,29.4,2006
200602,31.8,2006
200603,34,2006
200604,41,2006
200605,51.3,2006
200606,60.8,2006
200607,67.8,2006
200608,63.2,2006
200609,54.2,2006
200610,45,2006
200611,37.5,2006
200612,28.6,2006
200701,27.1,2007
200702,32.9,2007
200703,38.6,2007
200704,42.6,2007
200705,51,2007
200706,57.6,2007
200707,66.6,2007
200708,66.1,2007
200709,57.8,2007
200710,45.9,2007
200711,40.2,2007
200712,28.3,2007
200801,28.7,2008
200802,32,2008
200803,35.7,2008
200804,40.1,2008
200805,45.8,2008
200806,57.9,2008
200807,65.2,2008
200808,64.5,2008
200809,57.4,2008
200810,46.5,2008
200811,39.3,2008
200812,30.8,2008
200901,32.6,2009
200902,32,2009
200903,35.8,2009
200904,39.7,2009
200905,53.8,2009
200906,56.1,2009
200907,66.5,2009
200908,62,2009
200909,58,2009
200910,43.5,2009
200911,37.2,2009
200912,27.5,2009
201001,31.2,2010
201002,33,2010
201003,34.5,2010
201004,38.6,2010
201005,45.2,2010
201006,56.6,2010
201007,66.9,2010
201008,63.9,2010
201009,57.4,2010
201010,48.2,2010
201011,34.2,2010
201012,34.9,2010
201101,28.7,2011
201102,28,2011
201103,36.9,2011
201104,42.5,2011
201105,46.3,2011
201106,55.9,2011
201107,65.5,2011
201108,66.5,2011
201109,59.3,2011
201110,47,2011
201111,35.6,2011
201112,28.8,2011
201201,30.8,2012
201202,31,2012
201203,34.6,2012
201204,43.2,2012
201205,50.4,2012
201206,59.1,2012
201207,65.2,2012
201208,65.5,2012
201209,58.2,2012
201210,46.8,2012
201211,37.6,2012
201212,29.6,2012
201301,25.9,2013
201302,28.3,2013
201303,38.4,2013
201304,41.7,2013
201305,49.1,2013
201306,60,2013
201307,66.7,2013
201308,63.9,2013
201309,56.8,2013
201310,41.7,2013
201311,37.2,2013
201312,28.5,2013
201401,32.3,2014
201402,34.2,2014
201403,38.4,2014
201404,41.8,2014
201405,49.5,2014
201406,57.8,2014
201407,65.8,2014
201408,61.2,2014
201409,58.4,2014
201410,48.8,2014
201411,36.1,2014
201412,33.4,2014
201501,32.8,2015
201502,36.9,2015
201503,40.4,2015
201504,40.8,2015
201505,46.4,2015
201506,60.6,2015
201507,63.4,2015
201508,65.1,2015
201509,60,2015
201510,50.8,2015
201511,33.4,2015
201512,27.9,2015
201601,30.3,2016
201602,34.7,2016
201603,38,2016
201604,42.8,2016
201605,47.6,2016
201606,62,2016
201607,65.7,2016
201608,62.5,2016
201609,56.2,2016
201610,49.8,2016
201611,38.9,2016
201612,32.5,2016
201701,32,2017
201702,36.6,2017
201703,39.7,2017
201704,42.3,2017
201705,48.4,2017
201706,60.4,2017
201707,66.1,2017
201708,63.1,2017
201709,55.8,2017
201710,47.2,2017
201711,41.4,2017
201712,32.4,2017
201801,33.5,2018
201802,31.6,2018
201803,36.6,2018
201804,45.5,2018
201805,50,2018
201806,59.1,2018
201807,66.8,2018
201808,64.5,2018
201809,58.6,2018
201810,47.5,2018
201811,34.7,2018
201812,30.5,2018
201901,31.2,2019
201902,28.5,2019
201903,37.1,2019
201904,43.5,2019
201905,44.4,2019
201906,56.9,2019
201907,64.7,2019
201908,64.9,2019
201909,57.9,2019
201910,42.6,2019
201911,37.2,2019
201912,31.7,2019
202001,30.6,2020
202002,31.2,2020
202003,36.8,2020
202004,41.9,2020
202005,51.2,2020
202006,57.1,2020
202007,65.1,2020
202008,66,2020
202009,57.4,2020
202010,47.8,2020
202011,37.9,2020
202012,27.8,2020
202101,29.6,2021
