Date,Value,Anomaly,Month,Year
198601,0.33,-1.32,01,1986
198602,1.6,-0.14,02,1986
198603,2.79,1.16,03,1986
198604,0.52,-0.3,04,1986
198605,0.39,0,05,1986
198606,0.68,0.4,06,1986
198607,2.45,0.44,07,1986
198608,2.92,0.33,08,1986
198609,2.05,0.61,09,1986
198610,1.35,0.31,10,1986
198611,0.7,-0.39,11,1986
198612,1.7,0.11,12,1986
198701,1.66,0.01,01,1987
198702,2.11,0.37,02,1987
198703,0.97,-0.66,03,1987
198704,0.36,-0.46,04,1987
198705,0.74,0.35,05,1987
198706,0.41,0.13,06,1987
198707,1.29,-0.72,07,1987
198708,2.24,-0.35,08,1987
198709,0.91,-0.53,09,1987
198710,3.13,2.09,10,1987
198711,2.8,1.71,11,1987
198712,1.51,-0.08,12,1987
198801,1.66,0.01,01,1988
198802,1.24,-0.5,02,1988
198803,0.11,-1.52,03,1988
198804,3.07,2.25,04,1988
198805,0.01,-0.38,05,1988
198806,0.43,0.15,06,1988
198807,1.94,-0.07,07,1988
198808,5.13,2.54,08,1988
198809,0.17,-1.27,09,1988
198810,0.49,-0.55,10,1988
198811,0.83,-0.26,11,1988
198812,0.37,-1.22,12,1988
198901,2.3,0.65,01,1989
198902,0.35,-1.39,02,1989
198903,1.25,-0.38,03,1989
198904,0,-0.82,04,1989
198905,0.35,-0.04,05,1989
198906,0,-0.28,06,1989
198907,1.97,-0.04,07,1989
198908,1.9,-0.69,08,1989
198909,0.18,-1.26,09,1989
198910,0.77,-0.27,10,1989
198911,0.02,-1.07,11,1989
198912,0.79,-0.8,12,1989
199001,1.8,0.15,01,1990
199002,1.49,-0.25,02,1990
199003,1.25,-0.38,03,1990
199004,1.16,0.34,04,1990
199005,0.48,0.09,05,1990
199006,0.28,0,06,1990
199007,4.12,2.11,07,1990
199008,2.36,-0.23,08,1990
199009,2.89,1.45,09,1990
199010,0.59,-0.45,10,1990
199011,0.66,-0.43,11,1990
199012,0.65,-0.94,12,1990
199101,1.32,-0.33,01,1991
199102,1.47,-0.27,02,1991
199103,6.1,4.47,03,1991
199104,0,-0.82,04,1991
199105,0.02,-0.37,05,1991
199106,0.22,-0.06,06,1991
199107,1.02,-0.99,07,1991
199108,1.9,-0.69,08,1991
199109,1.34,-0.1,09,1991
199110,0.71,-0.33,10,1991
199111,1.83,0.74,11,1991
199112,2.07,0.48,12,1991
199201,2.03,0.38,01,1992
199202,3.16,1.42,02,1992
199203,3.75,2.12,03,1992
199204,0.52,-0.3,04,1992
199205,2.03,1.64,05,1992
199206,0.25,-0.03,06,1992
199207,1.52,-0.49,07,1992
199208,5.2,2.61,08,1992
199209,0.19,-1.25,09,1992
199210,0.86,-0.18,10,1992
199211,0.09,-1,11,1992
199212,4.41,2.82,12,1992
199301,7.63,5.98,01,1993
199302,6.37,4.63,02,1993
199303,1.39,-0.24,03,1993
199304,0,-0.82,04,1993
199305,0.88,0.49,05,1993
199306,0.12,-0.16,06,1993
199307,0.05,-1.96,07,1993
199308,3.09,0.5,08,1993
199309,0.24,-1.2,09,1993
199310,1.72,0.68,10,1993
199311,1.93,0.84,11,1993
199312,0.34,-1.25,12,1993
199401,0.23,-1.42,01,1994
199402,1.6,-0.14,02,1994
199403,1.4,-0.23,03,1994
199404,0.92,0.1,04,1994
199405,0.56,0.17,05,1994
199406,0.12,-0.16,06,1994
199407,1.06,-0.95,07,1994
199408,1.86,-0.73,08,1994
199409,1.9,0.46,09,1994
199410,0.79,-0.25,10,1994
199411,0.84,-0.25,11,1994
199412,2.61,1.02,12,1994
199501,3.94,2.29,01,1995
199502,2.76,1.02,02,1995
199503,2.19,0.56,03,1995
199504,0.97,0.15,04,1995
199505,0.36,-0.03,05,1995
199506,0.17,-0.11,06,1995
199507,0.47,-1.54,07,1995
199508,2.67,0.08,08,1995
199509,2.18,0.74,09,1995
199510,0.02,-1.02,10,1995
199511,0.41,-0.68,11,1995
199512,0.17,-1.42,12,1995
199601,0.15,-1.5,01,1996
199602,1.29,-0.45,02,1996
199603,0.76,-0.87,03,1996
199604,0.03,-0.79,04,1996
199605,0.03,-0.36,05,1996
199606,0.07,-0.21,06,1996
199607,2.1,0.09,07,1996
199608,1.47,-1.12,08,1996
199609,1.94,0.5,09,1996
199610,0.32,-0.72,10,1996
199611,0.73,-0.36,11,1996
199612,0.23,-1.36,12,1996
199701,3.05,1.4,01,1997
199702,1.41,-0.33,02,1997
199703,0.01,-1.62,03,1997
199704,1.39,0.57,04,1997
199705,0.47,0.08,05,1997
199706,0.14,-0.14,06,1997
199707,0.4,-1.61,07,1997
199708,2.7,0.11,08,1997
199709,3.8,2.36,09,1997
